Photon Energy / eV,3s,3p,4s,3d,4p,5s,4d,5p,6s,5d,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
10.2,,,,,,,,,0.038,11.14,,,,,,,,
10.21362017100584,,,,,,,,,0.03810748952480654,11.12687697114431,,,,,,,,
10.22725852917425,,,,,,,,,0.03821528310219053,11.113769401344841,,,,,,,,
10.24091509879075,,,,,,,,,0.0383233815922169,11.100677272390682,,,,,,,,
10.25458990417328,,,,,,,,,0.038431785857383396,11.087600566092354,,,,,,,,
10.26828296967226,,,,,,,,,0.03854049676262753,11.07453926428183,,,,,,,,
10.281994319670622,,,,,,,,,0.038649515175333396,11.061493348812471,,,,,,,,
10.29572397858386,,,,,,,,,0.03875884196533869,11.048462801559008,,,,,,,,
10.30947197086006,,,,,,,,,0.038868478004941504,11.035447604417545,,,,,,,,
10.323238320979964,,,,,,,,,0.03897842416890741,11.022447739305495,,,,,,,,
10.337023053457003,,,,,,,,,0.03908868133447646,11.009463188161574,,,,,,,,
10.350826192837335,,,,,,,,,0.039199250381370065,10.996493932945777,,,,,,,,
10.3646477636999,,,,,,,,,0.039310132191798124,10.983539955639358,,,,,,,,
10.378487790656457,,,,,,,,,0.039421327650465986,10.97060123824479,,,,,,,,
10.39234629835163,,,,,,,,,0.03953283764458155,10.957677762785742,,,,,,,,
10.406223311462949,,,,,,,,,0.03964466306386234,10.94476951130707,,,,,,,,
10.420118854700899,,,,,,,,,0.03975680480054261,10.931876465874774,,,,,,,,
10.434032952808957,,,,,,,,,0.039869263749380414,10.918998608575977,,,,,,,,
10.447965630563646,,,,,,,,,0.03998204080766483,10.90613592151892,,,,,,,,
10.461916912774575,,,,,,,,,0.04009513687522307,10.893288386832902,,,,,,,,
10.475886824284464,,,,,,,,,0.040208552854427565,10.88045598666829,,,,,,,,
10.489875389969226,,,,,,,,,0.04032228965020339,10.867638703196464,,,,,,,,
10.503882634737984,,,,,,,,,0.04043634817003528,10.854836518609813,,,,,,,,
10.51790858353312,,,,,,,,,0.04055072932397499,10.842049415121704,,,,,,,,
10.531953261330328,,,,,,,,,0.040665434024648485,10.829277374966448,,,,,,,,
10.546016693138645,,,,,,,,,0.04078046318726328,10.816520380399306,,,,,,,,
10.560098904000506,,,,,,,,,0.04089581772961563,10.803778413696419,,,,,,,,
10.574199918991788,,,,,,,,,0.041011498572098036,10.791051457154817,,,,,,,,
10.588319763221847,,,,,,,,,0.04112750663770643,10.778339493092384,,,,,,,,
10.602458461833573,,,,,,,,,0.04124384285204761,10.765642503847833,,,,,,,,
10.616616040003423,,,,,,,,,0.041360508143346617,10.752960471780677,,,,,,,,
10.630792522941482,,,,,,,,,0.04147750344245413,10.740293379271225,,,,,,,,
10.644987935891493,,,,,,,,,0.04159482968285393,10.727641208720522,,,,,,,,
10.659202304130899,,,,,,,,,0.041712487800670224,10.715003942550364,,,,,,,,
10.673435652970909,,,,,,,,,0.0418304787346753,10.702381563203241,,,,,,,,
10.687688007756526,,,,,,,,,0.041948803426296886,10.689774053142331,,,,,,,,
10.701959393866595,,,,,,,,,0.042067462819625714,10.677181394851468,,,,,,,,
10.716249836713851,,,,,,,,,0.04218645786142304,10.664603570835116,,,,,,,,
10.730559361744964,,,,,,,,,0.04230578950112819,10.652040563618367,,,,,,,,
10.74488799444058,,,,,,,,,0.042425458690866134,10.63949235574688,,,,,,,,
10.75923576031537,,,,,,,,,0.0425454663854551,10.626958929786882,,,,,,,,
10.77360268491808,,,,,,,,,0.04266581354241419,10.614440268325136,,,,,,,,
10.787988793831566,,,,,,,,,0.042786501121971014,10.60193635396892,,,,,,,,
10.802394112672848,,,,,,,,,0.0429075300870693,10.589447169345993,,,,,,,,
10.816818667093155,,,,,,,,,0.04302890140337676,10.57697269710459,,,,,,,,
10.831262482777957,,,,,,,,,0.043150616039292454,10.56451291991339,,,,,,,,
10.845725585447031,,,,,,,,,0.0432726749659549,10.552067820461474,,,,,,,,
10.860208000854502,,,,,,,,,0.0433950791572496,10.53963738145832,,,,,,,,
10.874709754788878,,,,,,,,,0.043517829589816835,10.527221585633777,,,,,,,,
10.889230873073103,,,,,,,,,0.043640927243059506,10.514820415738036,,,,,,,,
10.903771381564605,,,,,,,,,0.043764373099150905,10.502433854541609,,,,,,,,
10.91833130615534,,,,,,,,,0.04388816814304259,10.490061884835312,,,,,,,,
10.932910672771834,,,,,,,,,0.044012313362472195,10.477704489430224,,,,,,,,
10.947509507375239,,,,,,,,,0.04413680974797138,10.465361651157673,,,,,,,,
10.962127835961367,,,,,,,,,0.044261658292873644,10.453033352869218,,,,,,,,
10.976765684560746,,,,,,,,,0.04438685999332234,10.440719577436614,,,,,,,,
10.991423079238663,,,,,,,,,0.04451241584827857,10.428420307751788,,,,,,,,
11.006100046095213,,,,,,,,,0.04463832685952923,10.416135526726835,,,,,,,,
11.02079661126533,,,,,,,,,0.044764594031694756,10.403865217293978,,,,,,,,
11.035512800918863,,,,,,,,,0.04489121837223751,10.391609362405532,,,,,,,,
11.050248641260591,,,,,,,,,0.04501820089146957,10.379367945033906,,,,,,,,
11.0650041585303,,,,,,,,,0.04514554260256087,10.36714094817156,,,,,,,,
11.079779379002801,,,,,,,,,0.04527324452154726,10.354928354830996,,,,,,,,
11.094574328987996,,,,,,,,,0.04540130766733862,10.34273014804472,,,,,,,,
11.109389034830919,,,,,,,,,0.04552973306172698,10.330546310865236,,,,,,,,
11.124223522911782,,,,,,,,,0.04565852172939471,10.318376826365007,,,,,,,,
11.13907781964602,,,,,,,,,0.04578767469792265,10.306221677636435,,,,,,,,
11.153951951484348,,,,,,,,,0.04591719299779834,10.294080847791841,,,,,,,,
11.168845944912793,,,,,,,,,0.046047077662424225,10.28195431996344,,,,,,,,
11.183759826452752,,,,,,,,,0.0461773297281259,10.26984207730331,,,,,,,,
11.198693622661045,,,,,,,,,0.046307950234160455,10.25774410298339,,,,,,,,
11.213647360129933,,,,,,,,,0.04643894022272453,10.245660380195439,,,,,,,,
11.228621065487202,,,,,,,,,0.046570300738962955,10.233590892151012,,,,,,,,
11.243614765396194,,,,,,,,,0.04670203283097687,10.221535622081438,,,,,,,,
11.258628486555848,,,,,,,,,0.04683413754983219,10.209494553237807,,,,,,,,
11.273662255700762,,,,,,,,,0.046966615949567865,10.197467668890933,,,,,,,,
11.288716099601224,,,,,,,,,0.04709946908720445,10.185454952331337,,,,,,,,
11.303790045063277,,,,,,,,,0.04723269802275245,10.173456386869237,,,,,,,,
11.318884118928755,,,,,,,,,0.04736630381922078,10.161471955834497,,,,,,,,
11.333998348075333,,,,,,,,,0.047500287542625266,10.149501642576622,,,,,,,,
11.349132759416577,,,,,,,,,0.047634650261997126,10.137545430464733,,,,,,,,
11.364287379901992,,,,,,,,,0.04776939304939155,10.125603302887546,,,,,,,,
11.379462236517073,,,,,,,,,0.04790451697989623,10.113675243253331,,,,,,,,
11.394657356283334,,,,,,,,,0.048040023131639804,10.101761234989922,,,,,,,,
11.409872766258385,,,,,,,,,0.04817591258580073,10.089861261544673,,,,,,,,
11.425108493535966,,,,,,,,,0.04831218642661571,10.077975306384424,,,,,,,,
11.440364565245988,,,,,,,,,0.04844884574138839,10.066103352995498,,,,,,,,
11.455641008554595,,,,,,,,,0.048585891620498055,10.054245384883671,,,,,,,,
11.470937850664205,,,,,,,,,0.048723325157408306,10.042401385574154,,,,,,,,
11.48625511881356,,,,,,,,,0.048861147448675785,10.030571338611551,,,,,,,,
