Photon Energy / eV,3s,3p,4s,3d,4p,5s,4d,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
10.2,,,,,,0.0007100000000000003,17.600000000000005,,,,,,,,,,,
10.21362017100584,,,,,,0.0007175848384669948,17.611746548801996,,,,,,,,,,,
10.22725852917425,,,,,,0.0007252507047854975,17.623500937456747,,,,,,,,,,,
10.24091509879075,,,,,,0.0007329984645655988,17.635263171196733,,,,,,,,,,,
10.25458990417328,,,,,,0.0007408289926645925,17.647033255257895,,,,,,,,,,,
10.26828296967226,,,,,,0.0007487431732857574,17.658811194879668,,,,,,,,,,,
10.281994319670622,,,,,,0.0007567419000782051,17.67059699530499,,,,,,,,,,,
10.29572397858386,,,,,,0.0007648260762377852,17.68239066178032,,,,,,,,,,,
10.30947197086006,,,,,,0.000772996614609066,17.694192199555566,,,,,,,,,,,
10.323238320979964,,,,,,0.0007812544377884228,17.706001613884194,,,,,,,,,,,
10.337023053457003,,,,,,0.0007896004782282091,17.71781891002315,,,,,,,,,,,
10.350826192837335,,,,,,0.0007980356783420437,17.729644093232892,,,,,,,,,,,
10.3646477636999,,,,,,0.0008065609906112315,17.741477168777376,,,,,,,,,,,
10.378487790656457,,,,,,0.0008151773776923092,17.753318141924105,,,,,,,,,,,
10.39234629835163,,,,,,0.0008238858125257527,17.76516701794407,,,,,,,,,,,
10.406223311462949,,,,,,0.000832687278445832,17.777023802111785,,,,,,,,,,,
10.420118854700899,,,,,,0.0008415827692916538,17.78888849970528,,,,,,,,,,,
10.434032952808957,,,,,,0.0008505732895193764,17.800761116006132,,,,,,,,,,,
10.447965630563646,,,,,,0.0008596598543156373,17.812641656299412,,,,,,,,,,,
10.461916912774575,,,,,,0.0008688434897121817,17.824530125873736,,,,,,,,,,,
10.475886824284464,,,,,,0.0008781252327017131,17.836426530021242,,,,,,,,,,,
10.489875389969226,,,,,,0.000887506131355001,17.848330874037607,,,,,,,,,,,
10.503882634737984,,,,,,0.00089698724493922,17.860243163222027,,,,,,,,,,,
10.51790858353312,,,,,,0.0009065696440375557,17.872163402877266,,,,,,,,,,,
10.531953261330328,,,,,,0.0009162544106700996,17.8840915983096,,,,,,,,,,,
10.546016693138645,,,,,,0.0009260426384160206,17.89602775482885,,,,,,,,,,,
10.560098904000506,,,,,,0.0009359354325370566,17.90797187774838,,,,,,,,,,,
10.574199918991788,,,,,,0.0009459339101023103,17.91992397238512,,,,,,,,,,,
10.588319763221847,,,,,,0.0009560392001143936,17.93188404405953,,,,,,,,,,,
10.602458461833573,,,,,,0.0009662524436369038,17.943852098095622,,,,,,,,,,,
10.616616040003423,,,,,,0.0009765747939232774,17.95582813982095,,,,,,,,,,,
10.630792522941482,,,,,,0.0009870074165470048,17.967812174566667,,,,,,,,,,,
10.644987935891493,,,,,,0.0009975514895332557,17.979804207667435,,,,,,,,,,,
10.659202304130899,,,,,,0.0010082082034918746,17.991804244461505,,,,,,,,,,,
10.673435652970909,,,,,,0.001018978761751854,18.003812290290675,,,,,,,,,,,
10.687688007756526,,,,,,0.0010298643804971862,18.015828350500325,,,,,,,,,,,
10.701959393866595,,,,,,0.0010408662889042047,18.027852430439374,,,,,,,,,,,
10.716249836713851,,,,,,0.0010519857292803714,18.039884535460352,,,,,,,,,,,
10.730559361744964,,,,,,0.0010632239572045627,18.051924670919334,,,,,,,,,,,
10.74488799444058,,,,,,0.0010745822416688376,18.06397284217597,,,,,,,,,,,
10.75923576031537,,,,,,0.0010860618652217386,18.076029054593487,,,,,,,,,,,
10.77360268491808,,,,,,0.001097664124113104,18.088093313538714,,,,,,,,,,,
10.787988793831566,,,,,,0.0011093903284404472,18.100165624382036,,,,,,,,,,,
10.802394112672848,,,,,,0.0011212418022968794,18.112245992497428,,,,,,,,,,,
10.816818667093155,,,,,,0.0011332198839206365,18.12433442326246,,,,,,,,,,,
10.831262482777957,,,,,,0.0011453259258461636,18.13643092205828,,,,,,,,,,,
10.845725585447031,,,,,,0.0011575612950568746,18.14853549426963,,,,,,,,,,,
10.860208000854502,,,,,,0.001169927373139482,18.160648145284863,,,,,,,,,,,
10.874709754788878,,,,,,0.0011824255564400158,18.172768880495905,,,,,,,,,,,
10.889230873073103,,,,,,0.0011950572562214857,18.184897705298294,,,,,,,,,,,
10.903771381564605,,,,,,0.0012078238988232467,18.197034625091156,,,,,,,,,,,
10.91833130615534,,,,,,0.0012207269258220493,18.209179645277242,,,,,,,,,,,
10.932910672771834,,,,,,0.0012337677941948264,18.221332771262894,,,,,,,,,,,
10.947509507375239,,,,,,0.0012469479764832037,18.233494008458063,,,,,,,,,,,
10.962127835961367,,,,,,0.0012602689609597835,18.2456633622763,,,,,,,,,,,
10.976765684560746,,,,,,0.0012737322517961875,18.257840838134804,,,,,,,,,,,
10.991423079238663,,,,,,0.0012873393692329144,18.27002644145436,,,,,,,,,,,
11.006100046095213,,,,,,0.001301091849750996,18.28222017765937,,,,,,,,,,,
11.02079661126533,,,,,,0.0013149912462454823,18.29442205217787,,,,,,,,,,,
11.035512800918863,,,,,,0.0013290391282008115,18.306632070441513,,,,,,,,,,,
11.050248641260591,,,,,,0.0013432370818680216,18.31885023788557,,,,,,,,,,,
11.0650041585303,,,,,,0.001357586710443861,18.33107655994896,,,,,,,,,,,
11.079779379002801,,,,,,0.0013720896342518272,18.343311042074216,,,,,,,,,,,
11.094574328987996,,,,,,0.0013867474909251196,18.3555536897075,,,,,,,,,,,
11.109389034830919,,,,,,0.0014015619355915673,18.36780450829861,,,,,,,,,,,
11.124223522911782,,,,,,0.0014165346410605112,18.380063503301006,,,,,,,,,,,
11.13907781964602,,,,,,0.001431667298011704,18.392330680171757,,,,,,,,,,,
11.153951951484348,,,,,,0.0014469616151862072,18.404606044371587,,,,,,,,,,,
11.168845944912793,,,,,,0.0014624193195793478,18.41688960136485,,,,,,,,,,,
11.183759826452752,,,,,,0.0014780421566357156,18.429181356619583,,,,,,,,,,,
11.198693622661045,,,,,,0.0014938318904462726,18.44148131560744,,,,,,,,,,,
11.213647360129933,,,,,,0.001509790303947512,18.453789483803735,,,,,,,,,,,
11.228621065487202,,,,,,0.0015259191991228323,18.46610586668744,,,,,,,,,,,
11.243614765396194,,,,,,0.0015422203972059762,18.478430469741173,,,,,,,,,,,
11.258628486555848,,,,,,0.001558695738886698,18.490763298451224,,,,,,,,,,,
