Photon Energy / eV,4s,4p,5s,4d,5p,6s,4f,5d,6p,7s,6d,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
10.2,,,,,,,,,,0.025000000000000005,12.33,,,,,,,
10.21362017100584,,,,,,,,,,0.02508294464754704,12.306748774098715,,,,,,,
10.22725852917425,,,,,,,,,,0.025166164487676328,12.283541394061649,,,,,,,
10.24091509879075,,,,,,,,,,0.02524966043341797,12.260377777206733,,,,,,,
10.25458990417328,,,,,,,,,,0.02533343340083124,12.237257841007786,,,,,,,
10.26828296967226,,,,,,,,,,0.025417484309014766,12.214181503094277,,,,,,,
10.281994319670622,,,,,,,,,,0.025501814080116494,12.191148681250983,,,,,,,
10.29572397858386,,,,,,,,,,0.02558642363934393,12.16815929341773,,,,,,,
10.30947197086006,,,,,,,,,,0.025671313914974108,12.145213257689088,,,,,,,
10.323238320979964,,,,,,,,,,0.025756485838363978,12.122310492314082,,,,,,,
10.337023053457003,,,,,,,,,,0.025841940343960496,12.099450915695883,,,,,,,
10.350826192837335,,,,,,,,,,0.025927678369310946,12.076634446391555,,,,,,,
10.3646477636999,,,,,,,,,,0.02601370085507315,12.053861003111718,,,,,,,
10.378487790656457,,,,,,,,,,0.02610000874502587,12.031130504720313,,,,,,,
10.39234629835163,,,,,,,,,,0.02618660298607908,12.008442870234248,,,,,,,
10.406223311462949,,,,,,,,,,0.026273484528284458,11.985798018823177,,,,,,,
10.420118854700899,,,,,,,,,,0.026360654324845682,11.963195869809159,,,,,,,
10.434032952808957,,,,,,,,,,0.026448113332129024,11.94063634266639,,,,,,,
10.447965630563646,,,,,,,,,,0.02653586250967372,11.918119357020936,,,,,,,
10.461916912774575,,,,,,,,,,0.026623902820202605,11.8956448326504,,,,,,,
10.475886824284464,,,,,,,,,,0.02671223522963252,11.873212689483692,,,,,,,
10.489875389969226,,,,,,,,,,0.026800860707085133,11.850822847600709,,,,,,,
10.503882634737984,,,,,,,,,,0.02688978022489737,11.828475227232033,,,,,,,
10.51790858353312,,,,,,,,,,0.026978994758632222,11.806169748758705,,,,,,,
10.531953261330328,,,,,,,,,,0.027068505287089328,11.783906332711883,,,,,,,
10.546016693138645,,,,,,,,,,0.027158312792315835,11.761684899772586,,,,,,,
10.560098904000506,,,,,,,,,,0.02724841825961705,11.739505370771422,,,,,,,
