Photon Energy / eV,3s,3p,4s,3d,4p,5s,4d,5p,6s,4f,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
10.2,,,,,,,,,0.038,,,,,,,,,
10.21362017100584,,,,,,,,,0.03808878456843364,,,,,,,,,
10.22725852917425,,,,,,,,,0.03817777657633023,,,,,,,,,
10.24091509879075,,,,,,,,,0.038266976508358815,,,,,,,,,
10.25458990417328,,,,,,,,,0.038356384850320786,,,,,,,,,
10.26828296967226,,,,,,,,,0.038446002089152644,,,,,,,,,
10.281994319670622,,,,,,,,,0.038535828712928544,,,,,,,,,
10.29572397858386,,,,,,,,,0.03862586521086306,,,,,,,,,
10.30947197086006,,,,,,,,,0.03871611207331366,,,,,,,,,
10.323238320979964,,,,,,,,,0.03880656979178362,,,,,,,,,
10.337023053457003,,,,,,,,,0.038897238858924495,,,,,,,,,
10.350826192837335,,,,,,,,,0.03898811976853897,,,,,,,,,
10.3646477636999,,,,,,,,,0.03907921301558341,,,,,,,,,
10.378487790656457,,,,,,,,,0.03917051909617065,,,,,,,,,
10.39234629835163,,,,,,,,,0.03926203850757265,,,,,,,,,
10.406223311462949,,,,,,,,,0.039353771748223174,,,,,,,,,
10.420118854700899,,,,,,,,,0.0394457193177206,,,,,,,,,
10.434032952808957,,,,,,,,,0.03953788171683056,,,,,,,,,
10.447965630563646,,,,,,,,,0.039630259447488714,,,,,,,,,
10.461916912774575,,,,,,,,,0.039722853012803434,,,,,,,,,
10.475886824284464,,,,,,,,,0.039815662917058584,,,,,,,,,
10.489875389969226,,,,,,,,,0.03990868966571622,,,,,,,,,
10.503882634737984,,,,,,,,,0.04000193376541945,,,,,,,,,
10.51790858353312,,,,,,,,,0.040095395723995085,,,,,,,,,
10.531953261330328,,,,,,,,,0.04018907605045645,,,,,,,,,
10.546016693138645,,,,,,,,,0.0402829752550061,,,,,,,,,
10.560098904000506,,,,,,,,,0.040377093849038696,,,,,,,,,
10.574199918991788,,,,,,,,,0.04047143234514374,,,,,,,,,
10.588319763221847,,,,,,,,,0.040565991257108344,,,,,,,,,
10.602458461833573,,,,,,,,,0.040660771099920084,,,,,,,,,
10.616616040003423,,,,,,,,,0.040755772389769705,,,,,,,,,
10.630792522941482,,,,,,,,,0.040850995644054054,,,,,,,,,
10.644987935891493,,,,,,,,,0.04094644138137889,,,,,,,,,
10.659202304130899,,,,,,,,,0.0410421101215615,,,,,,,,,
10.673435652970909,,,,,,,,,0.04113800238563384,,,,,,,,,
10.687688007756526,,,,,,,,,0.041234118695845194,,,,,,,,,
10.701959393866595,,,,,,,,,0.04133045957566499,,,,,,,,,
10.716249836713851,,,,,,,,,0.041427025549785765,,,,,,,,,
10.730559361744964,,,,,,,,,0.04152381714412595,,,,,,,,,
10.74488799444058,,,,,,,,,0.041620834885832764,,,,,,,,,
10.75923576031537,,,,,,,,,0.04171807930328506,,,,,,,,,
10.77360268491808,,,,,,,,,0.041815550926096186,,,,,,,,,
10.787988793831566,,,,,,,,,0.041913250285116936,,,,,,,,,
10.802394112672848,,,,,,,,,0.04201117791243839,,,,,,,,,
10.816818667093155,,,,,,,,,0.042109334341394876,,,,,,,,,
10.831262482777957,,,,,,,,,0.04220772010656668,,,,,,,,,
10.845725585447031,,,,,,,,,0.04230633574378327,,,,,,,,,
10.860208000854502,,,,,,,,,0.042405181790125916,,,,,,,,,
10.874709754788878,,,,,,,,,0.042504258783930826,,,,,,,,,
10.889230873073103,,,,,,,,,0.04260356726479196,,,,,,,,,
10.903771381564605,,,,,,,,,0.04270310777356402,,,,,,,,,
10.91833130615534,,,,,,,,,0.04280288085236539,,,,,,,,,
10.932910672771834,,,,,,,,,0.04290288704458102,,,,,,,,,
10.947509507375239,,,,,,,,,0.043003126894865504,,,,,,,,,
10.962127835961367,,,,,,,,,0.043103600949145976,,,,,,,,,
10.976765684560746,,,,,,,,,0.043204309754625074,,,,,,,,,
10.991423079238663,,,,,,,,,0.04330525385978399,,,,,,,,,
11.006100046095213,,,,,,,,,0.04340643381438536,,,,,,,,,
11.02079661126533,,,,,,,,,0.04350785016947624,,,,,,,,,
11.035512800918863,,,,,,,,,0.04360950347739131,,,,,,,,,
11.050248641260591,,,,,,,,,0.04371139429175567,,,,,,,,,
11.0650041585303,,,,,,,,,0.04381352316748794,,,,,,,,,
