Photon Energy / eV,4s,3d,4p,5s,4d,5p,6s,4f,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
10.2,,,,,,,0.0027,,,,,,,,,,,
10.21362017100584,,,,,,,0.0027223797861428024,,,,,,,,,,,
10.22725852917425,,,,,,,0.0027449450740736773,,,,,,,,,,,
10.24091509879075,,,,,,,0.0027676974013816427,,,,,,,,,,,
10.25458990417328,,,,,,,0.002790638318400498,,,,,,,,,,,
10.26828296967226,,,,,,,0.002813769388314465,,,,,,,,,,,
10.281994319670622,,,,,,,0.0028370921872647023,,,,,,,,,,,
10.29572397858386,,,,,,,0.0028606083044567104,,,,,,,,,,,
10.30947197086006,,,,,,,0.002884319342268583,,,,,,,,,,,
10.323238320979964,,,,,,,0.002908226916360256,,,,,,,,,,,
10.337023053457003,,,,,,,0.002932332655783546,,,,,,,,,,,
10.350826192837335,,,,,,,0.002956638203093172,,,,,,,,,,,
10.3646477636999,,,,,,,0.002981145214458677,,,,,,,,,,,
10.378487790656457,,,,,,,0.0030058553597772783,,,,,,,,,,,
10.39234629835163,,,,,,,0.0030307703227876524,,,,,,,,,,,
10.406223311462949,,,,,,,0.0030558918011846666,,,,,,,,,,,
10.420118854700899,,,,,,,0.003081221506735057,,,,,,,,,,,
10.434032952808957,,,,,,,0.003106761165394069,,,,,,,,,,,
10.447965630563646,,,,,,,0.003132512517423062,,,,,,,,,,,
10.461916912774575,,,,,,,0.003158477317508101,,,,,,,,,,,
10.475886824284464,,,,,,,0.003184657334879479,,,,,,,,,,,
10.489875389969226,,,,,,,0.003211054353432334,,,,,,,,,,,
10.503882634737984,,,,,,,0.003237670171848156,,,,,,,,,,,
10.51790858353312,,,,,,,0.0032645066037173746,,,,,,,,,,,
10.531953261330328,,,,,,,0.003291565477662915,,,,,,,,,,,
10.546016693138645,,,,,,,0.0033188486374648137,,,,,,,,,,,
10.560098904000506,,,,,,,0.0033463579421858475,,,,,,,,,,,
