Photon Energy / eV,3s,3p,4s,3d,4p,5s,4d,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
10.2,,,,,,5e-07,15.260000000000003,,,,,,,,,,,
10.21362017100584,,,,,,5.152460546010203e-07,15.277826034806992,,,,,,,,,,,
10.22725852917425,,,,,,5.309569935638341e-07,15.295672893173414,,,,,,,,,,,
10.24091509879075,,,,,,5.471469921931698e-07,15.31354059942439,,,,,,,,,,,
10.25458990417328,,,,,,5.638306580286909e-07,15.331429177913487,,,,,,,,,,,
10.26828296967226,,,,,,5.810230440247601e-07,15.349338653022684,,,,,,,,,,,
10.281994319670622,,,,,,5.987396621320652e-07,15.367269049162465,,,,,,,,,,,
10.29572397858386,,,,,,6.169964972933955e-07,15.385220390771819,,,,,,,,,,,
10.30947197086006,,,,,,6.358100218661409e-07,15.403192702318286,,,,,,,,,,,
10.323238320979964,,,,,,6.551972104846351e-07,15.42118600829799,,,,,,,,,,,
10.337023053457003,,,,,,6.751755553756051e-07,15.43920033323567,,,,,,,,,,,
10.350826192837335,,,,,,6.957630821406651e-07,15.4572357016847,,,,,,,,,,,
10.3646477636999,,,,,,7.169783660200467e-07,15.475292138227168,,,,,,,,,,,
10.378487790656457,,,,,,7.388405486522291e-07,15.49336966747385,,,,,,,,,,,
10.39234629835163,,,,,,7.613693553446285e-07,15.51146831406428,,,,,,,,,,,
10.406223311462949,,,,,,7.845851128708827e-07,15.529588102666763,,,,,,,,,,,
10.420118854700899,,,,,,8.08508767810837e-07,15.547729057978449,,,,,,,,,,,
10.434032952808957,,,,,,8.331619054497325e-07,15.565891204725315,,,,,,,,,,,
10.447965630563646,,,,,,8.585667692536842e-07,15.584074567662224,,,,,,,,,,,
10.461916912774575,,,,,,8.847462809390199e-07,15.602279171572961,,,,,,,,,,,
10.475886824284464,,,,,,9.117240611535118e-07,15.620505041270263,,,,,,,,,,,
10.489875389969226,,,,,,9.395244507883328e-07,15.638752201595848,,,,,,,,,,,
10.503882634737984,,,,,,9.68172532939756e-07,15.657020677420457,,,,,,,,,,,
10.51790858353312,,,,,,9.976941555405712e-07,15.675310493643872,,,,,,,,,,,
10.531953261330328,,,,,,1.02811595468155e-06,15.69362167519499,,,,,,,,,,,
10.546016693138645,,,,,,1.05946537864406e-06,15.711954247031802,,,,,,,,,,,
10.560098904000506,,,,,,1.0917707126654563e-06,15.730308234141463,,,,,,,,,,,
10.574199918991788,,,,,,1.1250611044596388e-06,15.748683661540314,,,,,,,,,,,
10.588319763221847,,,,,,1.1593665905157906e-06,15.767080554273916,,,,,,,,,,,
10.602458461833573,,,,,,1.1947181231989932e-06,15.785498937417106,,,,,,,,,,,
10.616616040003423,,,,,,1.231147598677234e-06,15.803938836073991,,,,,,,,,,,
10.630792522941482,,,,,,1.2686878856999304e-06,15.822400275378014,,,,,,,,,,,
10.644987935891493,,,,,,1.3073728552540123e-06,15.840883280491973,,,,,,,,,,,
