Photon Energy / eV,2s,2p,3s,3p,4s,3d,4p,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
10.2,,,,,,,15.610000000000003,,,,,,,,,,,
10.21362017100584,,,,,,,15.548526596846454,,,,,,,,,,,
10.22725852917425,,,,,,,15.487295280771397,,,,,,,,,,,
10.24091509879075,,,,,,,15.426305098416941,,,,,,,,,,,
10.25458990417328,,,,,,,15.365555100179616,,,,,,,,,,,
10.26828296967226,,,,,,,15.30504434019554,,,,,,,,,,,
10.281994319670622,,,,,,,15.244771876325727,,,,,,,,,,,
10.29572397858386,,,,,,,15.184736770141381,,,,,,,,,,,
10.30947197086006,,,,,,,15.12493808690938,,,,,,,,,,,
10.323238320979964,,,,,,,15.065374895577602,,,,,,,,,,,
10.337023053457003,,,,,,,15.006046268760484,,,,,,,,,,,
10.350826192837335,,,,,,,14.946951282724587,,,,,,,,,,,
10.3646477636999,,,,,,,14.88808901737421,,,,,,,,,,,
10.378487790656457,,,,,,,14.829458556237048,,,,,,,,,,,
10.39234629835163,,,,,,,14.771058986449962,,,,,,,,,,,
10.406223311462949,,,,,,,14.712889398744714,,,,,,,,,,,
10.420118854700899,,,,,,,14.654948887433848,,,,,,,,,,,
10.434032952808957,,,,,,,14.597236550396572,,,,,,,,,,,
10.447965630563646,,,,,,,14.53975148906471,,,,,,,,,,,
10.461916912774575,,,,,,,14.482492808408717,,,,,,,,,,,
10.475886824284464,,,,,,,14.42545961692379,,,,,,,,,,,
10.489875389969226,,,,,,,14.368651026615884,,,,,,,,,,,
10.503882634737984,,,,,,,14.312066152987965,,,,,,,,,,,
10.51790858353312,,,,,,,14.255704115026209,,,,,,,,,,,
10.531953261330328,,,,,,,14.199564035186317,,,,,,,,,,,
10.546016693138645,,,,,,,14.143645039379805,,,,,,,,,,,
10.560098904000506,,,,,,,14.087946256960427,,,,,,,,,,,
10.574199918991788,,,,,,,14.0324668207106,,,,,,,,,,,
10.588319763221847,,,,,,,13.977205866827939,,,,,,,,,,,
10.602458461833573,,,,,,,13.922162534911752,,,,,,,,,,,
10.616616040003423,,,,,,,13.867335967949684,,,,,,,,,,,
10.630792522941482,,,,,,,13.81272531230436,,,,,,,,,,,
10.644987935891493,,,,,,,13.758329717700072,,,,,,,,,,,
10.659202304130899,,,,,,,13.70414833720964,,,,,,,,,,,
10.673435652970909,,,,,,,13.650180327241072,,,,,,,,,,,
10.687688007756526,,,,,,,13.596424847524535,,,,,,,,,,,
10.701959393866595,,,,,,,13.542881061099243,,,,,,,,,,,
10.716249836713851,,,,,,,13.489548134300419,,,,,,,,,,,
10.730559361744964,,,,,,,13.436425236746347,,,,,,,,,,,
10.74488799444058,,,,,,,13.383511541325397,,,,,,,,,,,
10.75923576031537,,,,,,,13.330806224183174,,,,,,,,,,,
10.77360268491808,,,,,,,13.278308464709692,,,,,,,,,,,
10.787988793831566,,,,,,,13.22601744552658,,,,,,,,,,,
10.802394112672848,,,,,,,13.173932352474386,,,,,,,,,,,
10.816818667093155,,,,,,,13.122052374599846,,,,,,,,,,,
10.831262482777957,,,,,,,13.070376704143358,,,,,,,,,,,
10.845725585447031,,,,,,,13.018904536526282,,,,,,,,,,,
10.860208000854502,,,,,,,12.967635070338481,,,,,,,,,,,
10.874709754788878,,,,,,,12.91656750732586,,,,,,,,,,,
10.889230873073103,,,,,,,12.865701052377885,,,,,,,,,,,
10.903771381564605,,,,,,,12.815034913515241,,,,,,,,,,,
10.91833130615534,,,,,,,12.764568301877487,,,,,,,,,,,
10.932910672771834,,,,,,,12.714300431710772,,,,,,,,,,,
10.947509507375239,,,,,,,12.66423052035562,,,,,,,,,,,
10.962127835961367,,,,,,,12.614357788234717,,,,,,,,,,,
