Photon Energy / eV,2s,2p,3s,3p,4s,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
10.2,,,,,0.11170000000000001,,,,,,,,,,,,,
10.21362017100584,,,,,0.11188724804134698,,,,,,,,,,,,,
10.22725852917425,,,,,0.11207480997552284,,,,,,,,,,,,,
10.24091509879075,,,,,0.11226268632872118,,,,,,,,,,,,,
10.25458990417328,,,,,0.11245087762801752,,,,,,,,,,,,,
10.26828296967226,,,,,0.11263938440137108,,,,,,,,,,,,,
10.281994319670622,,,,,0.11282820717762611,,,,,,,,,,,,,
10.29572397858386,,,,,0.11301734648651339,,,,,,,,,,,,,
10.30947197086006,,,,,0.11320680285865153,,,,,,,,,,,,,
10.323238320979964,,,,,0.11339657682554889,,,,,,,,,,,,,
10.337023053457003,,,,,0.11358666891960474,,,,,,,,,,,,,
10.350826192837335,,,,,0.11377707967411077,,,,,,,,,,,,,
10.3646477636999,,,,,0.1139678096232527,,,,,,,,,,,,,
10.378487790656457,,,,,0.11415885930211178,,,,,,,,,,,,,
10.39234629835163,,,,,0.11435022924666619,,,,,,,,,,,,,
10.406223311462949,,,,,0.11454191999379255,,,,,,,,,,,,,
10.420118854700899,,,,,0.11473393208126756,,,,,,,,,,,,,
10.434032952808957,,,,,0.11492626604776938,,,,,,,,,,,,,
10.447965630563646,,,,,0.11511892243287919,,,,,,,,,,,,,
10.461916912774575,,,,,0.11531190177708277,,,,,,,,,,,,,
10.475886824284464,,,,,0.11550520462177169,,,,,,,,,,,,,
10.489875389969226,,,,,0.11569883150924538,,,,,,,,,,,,,
10.503882634737984,,,,,0.11589278298271216,,,,,,,,,,,,,
10.51790858353312,,,,,0.11608705958629105,,,,,,,,,,,,,
10.531953261330328,,,,,0.11628166186501318,,,,,,,,,,,,,
10.546016693138645,,,,,0.11647659036482333,,,,,,,,,,,,,
10.560098904000506,,,,,0.11667184563258151,,,,,,,,,,,,,
10.574199918991788,,,,,0.11686742821606438,,,,,,,,,,,,,
10.588319763221847,,,,,0.11706333866396694,,,,,,,,,,,,,
10.602458461833573,,,,,0.11725957752590396,,,,,,,,,,,,,
10.616616040003423,,,,,0.11745614535241158,,,,,,,,,,,,,
10.630792522941482,,,,,0.11765304269494876,,,,,,,,,,,,,
10.644987935891493,,,,,0.11785027010589906,,,,,,,,,,,,,
10.659202304130899,,,,,0.11804782813857179,,,,,,,,,,,,,
10.673435652970909,,,,,0.11824571734720393,,,,,,,,,,,,,
10.687688007756526,,,,,0.1184439382869616,,,,,,,,,,,,,
10.701959393866595,,,,,0.1186424915139415,,,,,,,,,,,,,
10.716249836713851,,,,,0.11884137758517259,,,,,,,,,,,,,
10.730559361744964,,,,,0.11904059705861753,,,,,,,,,,,,,
10.74488799444058,,,,,0.11924015049317437,,,,,,,,,,,,,
10.75923576031537,,,,,0.11944003844867808,,,,,,,,,,,,,
10.77360268491808,,,,,0.1196402614859021,,,,,,,,,,,,,
10.787988793831566,,,,,0.1198408201665599,,,,,,,,,,,,,
10.802394112672848,,,,,0.12004171505330656,,,,,,,,,,,,,
10.816818667093155,,,,,0.12024294670974052,,,,,,,,,,,,,
10.831262482777957,,,,,0.12044451570040468,,,,,,,,,,,,,
10.845725585447031,,,,,0.1206464225907886,,,,,,,,,,,,,
10.860208000854502,,,,,0.12084866794732974,,,,,,,,,,,,,
10.874709754788878,,,,,0.12105125233741502,,,,,,,,,,,,,
10.889230873073103,,,,,0.12125417632938264,,,,,,,,,,,,,
10.903771381564605,,,,,0.12145744049252334,,,,,,,,,,,,,
10.91833130615534,,,,,0.12166104539708235,,,,,,,,,,,,,
10.932910672771834,,,,,0.12186499161426076,,,,,,,,,,,,,
10.947509507375239,,,,,0.12206927971621723,,,,,,,,,,,,,
10.962127835961367,,,,,0.12227391027606949,,,,,,,,,,,,,
10.976765684560746,,,,,0.12247888386789607,,,,,,,,,,,,,
10.991423079238663,,,,,0.12268420106673784,,,,,,,,,,,,,
11.006100046095213,,,,,0.12288986244859974,,,,,,,,,,,,,
11.02079661126533,,,,,0.12309586859045202,,,,,,,,,,,,,
11.035512800918863,,,,,0.12330222007023237,,,,,,,,,,,,,
11.050248641260591,,,,,0.12350891746684729,,,,,,,,,,,,,
