Photon Energy / eV,4s,4p,5s,4d,5p,6s,4f,5d,6p,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
10.2,,,,,,,,,11.850000000000001,,,,,,,,,
10.21362017100584,,,,,,,,,11.803020468714964,,,,,,,,,
10.22725852917425,,,,,,,,,11.75622718859952,,,,,,,,,
10.24091509879075,,,,,,,,,11.70961942125768,,,,,,,,,
10.25458990417328,,,,,,,,,11.663196431220815,,,,,,,,,
10.26828296967226,,,,,,,,,11.616957485936082,,,,,,,,,
10.281994319670622,,,,,,,,,11.570901855754855,,,,,,,,,
10.29572397858386,,,,,,,,,11.525028813921205,,,,,,,,,
10.30947197086006,,,,,,,,,11.479337636560482,,,,,,,,,
10.323238320979964,,,,,,,,,11.433827602667797,,,,,,,,,
10.337023053457003,,,,,,,,,11.388497994096715,,,,,,,,,
10.350826192837335,,,,,,,,,11.343348095547919,,,,,,,,,
10.3646477636999,,,,,,,,,11.298377194557888,,,,,,,,,
10.378487790656457,,,,,,,,,11.253584581487681,,,,,,,,,
10.39234629835163,,,,,,,,,11.208969549511746,,,,,,,,,
10.406223311462949,,,,,,,,,11.16453139460674,,,,,,,,,
10.420118854700899,,,,,,,,,11.120269415540436,,,,,,,,,
10.434032952808957,,,,,,,,,11.076182913860649,,,,,,,,,
10.447965630563646,,,,,,,,,11.032271193884233,,,,,,,,,
10.461916912774575,,,,,,,,,10.988533562686065,,,,,,,,,
10.475886824284464,,,,,,,,,10.944969330088183,,,,,,,,,
10.489875389969226,,,,,,,,,10.901577808648797,,,,,,,,,
10.503882634737984,,,,,,,,,10.858358313651525,,,,,,,,,
10.51790858353312,,,,,,,,,10.815310163094534,,,,,,,,,
10.531953261330328,,,,,,,,,10.77243267767981,,,,,,,,,
10.546016693138645,,,,,,,,,10.729725180802419,,,,,,,,,
10.560098904000506,,,,,,,,,10.687186998539856,,,,,,,,,
10.574199918991788,,,,,,,,,10.64481745964138,,,,,,,,,
10.588319763221847,,,,,,,,,10.602615895517431,,,,,,,,,
10.602458461833573,,,,,,,,,10.560581640229103,,,,,,,,,
10.616616040003423,,,,,,,,,10.518714030477597,,,,,,,,,
10.630792522941482,,,,,,,,,10.477012405593785,,,,,,,,,
10.644987935891493,,,,,,,,,10.435476107527744,,,,,,,,,
10.659202304130899,,,,,,,,,10.394104480838473,,,,,,,,,
10.673435652970909,,,,,,,,,10.35289687268341,,,,,,,,,
10.687688007756526,,,,,,,,,10.31185263280822,,,,,,,,,
10.701959393866595,,,,,,,,,10.27097111353651,,,,,,,,,
10.716249836713851,,,,,,,,,10.230251669759623,,,,,,,,,
10.730559361744964,,,,,,,,,10.189693658926435,,,,,,,,,
10.74488799444058,,,,,,,,,10.149296441033226,,,,,,,,,
10.75923576031537,,,,,,,,,10.109059378613592,,,,,,,,,
10.77360268491808,,,,,,,,,10.068981836728371,,,,,,,,,
10.787988793831566,,,,,,,,,10.029063182955625,,,,,,,,,
10.802394112672848,,,,,,,,,9.98930278738066,,,,,,,,,
10.816818667093155,,,,,,,,,9.94970002258609,,,,,,,,,
10.831262482777957,,,,,,,,,9.91025426364197,,,,,,,,,
10.845725585447031,,,,,,,,,9.870964888095854,,,,,,,,,
10.860208000854502,,,,,,,,,9.831831275963044,,,,,,,,,
10.874709754788878,,,,,,,,,9.79285280971677,,,,,,,,,
10.889230873073103,,,,,,,,,9.75402887427847,,,,,,,,,
10.903771381564605,,,,,,,,,9.71535885700806,,,,,,,,,
10.91833130615534,,,,,,,,,9.676842147694288,,,,,,,,,
10.932910672771834,,,,,,,,,9.638478138545091,,,,,,,,,
10.947509507375239,,,,,,,,,9.600266224178007,,,,,,,,,
10.962127835961367,,,,,,,,,9.562205801610625,,,,,,,,,
10.976765684560746,,,,,,,,,9.524296270251067,,,,,,,,,
10.991423079238663,,,,,,,,,9.486537031888517,,,,,,,,,
11.006100046095213,,,,,,,,,9.44892749068375,,,,,,,,,
11.02079661126533,,,,,,,,,9.411467053159816,,,,,,,,,
11.035512800918863,,,,,,,,,9.374155128192555,,,,,,,,,
11.050248641260591,,,,,,,,,9.336991127001356,,,,,,,,,
11.0650041585303,,,,,,,,,9.299974463139828,,,,,,,,,
11.079779379002801,,,,,,,,,9.263104552486569,,,,,,,,,
