Photon Energy / eV,4s,4p,5s,4d,5p,4f,5d,6s,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
10.2,,,,,,,,0.063,,,,,,,,,,
10.21362017100584,,,,,,,,0.0626058796816271,,,,,,,,,,
10.22725852917425,,,,,,,,0.062214224931910596,,,,,,,,,,
10.24091509879075,,,,,,,,0.06182502032655365,,,,,,,,,,
10.25458990417328,,,,,,,,0.06143825053775187,,,,,,,,,,
10.26828296967226,,,,,,,,0.06105390033358977,,,,,,,,,,
10.281994319670622,,,,,,,,0.060671954577440824,,,,,,,,,,
10.29572397858386,,,,,,,,0.060292398227371355,,,,,,,,,,
10.30947197086006,,,,,,,,0.05991521633554855,,,,,,,,,,
10.323238320979964,,,,,,,,0.05954039404765098,,,,,,,,,,
10.337023053457003,,,,,,,,0.059167916602284154,,,,,,,,,,
10.350826192837335,,,,,,,,0.05879776933039918,,,,,,,,,,
10.3646477636999,,,,,,,,0.05842993765471485,,,,,,,,,,
10.378487790656457,,,,,,,,0.05806440708914366,,,,,,,,,,
10.39234629835163,,,,,,,,0.05770116323822131,,,,,,,,,,
10.406223311462949,,,,,,,,0.05734019179653981,,,,,,,,,,
10.420118854700899,,,,,,,,0.056981478548184014,,,,,,,,,,
10.434032952808957,,,,,,,,0.05662500936617179,,,,,,,,,,
10.447965630563646,,,,,,,,0.05627077021189776,,,,,,,,,,
10.461916912774575,,,,,,,,0.055918747134580137,,,,,,,,,,
10.475886824284464,,,,,,,,0.05556892627071198,,,,,,,,,,
10.489875389969226,,,,,,,,0.055221293843514284,,,,,,,,,,
10.503882634737984,,,,,,,,0.054875836162394144,,,,,,,,,,
10.51790858353312,,,,,,,,0.05453253962240523,,,,,,,,,,
10.531953261330328,,,,,,,,0.054191390703712136,,,,,,,,,,
10.546016693138645,,,,,,,,0.05385237597105787,,,,,,,,,,
10.560098904000506,,,,,,,,0.05351548207323485,,,,,,,,,,
10.574199918991788,,,,,,,,0.05318069574255894,,,,,,,,,,
10.588319763221847,,,,,,,,0.052848003794347016,,,,,,,,,,
10.602458461833573,,,,,,,,0.05251739312639781,,,,,,,,,,
10.616616040003423,,,,,,,,0.052188850718475746,,,,,,,,,,
