Photon Energy / eV,4p,5s,4d,5p,6s,4f,5d,6p,7s,6d,5f,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
10.2,,,,,,,,,0.003899999999999999,9.198,,,,,,,,
10.21362017100584,,,,,,,,,0.0039301335594825945,9.192306033308205,,,,,,,,
10.22725852917425,,,,,,,,,0.0039604999475311145,9.18661559143231,,,,,,,,
10.24091509879075,,,,,,,,,0.003991100963107972,9.18092867219031,,,,,,,,
10.25458990417328,,,,,,,,,0.004021938419075372,9.175245273401528,,,,,,,,
10.26828296967226,,,,,,,,,0.0040530141423026946,9.169565392886653,,,,,,,,
10.281994319670622,,,,,,,,,0.004084329973774715,9.16388902846772,,,,,,,,
10.29572397858386,,,,,,,,,0.004115887768700699,9.158216177968107,,,,,,,,
10.30947197086006,,,,,,,,,0.004147689396624244,9.15254683921255,,,,,,,,
10.323238320979964,,,,,,,,,0.004179736741534122,9.146881010027123,,,,,,,,
10.337023053457003,,,,,,,,,0.004212031701975817,9.141218688239242,,,,,,,,
10.350826192837335,,,,,,,,,0.0042445761911640385,9.135559871677678,,,,,,,,
10.3646477636999,,,,,,,,,0.004277372137096056,9.12990455817254,,,,,,,,
10.378487790656457,,,,,,,,,0.004310421482665897,9.124252745555285,,,,,,,,
10.39234629835163,,,,,,,,,0.004343726185779479,9.11860443165871,,,,,,,,
10.406223311462949,,,,,,,,,0.004377288219470584,9.112959614316948,,,,,,,,
10.420118854700899,,,,,,,,,0.004411109572017733,9.107318291365479,,,,,,,,
10.434032952808957,,,,,,,,,0.004445192247062001,9.101680460641123,,,,,,,,
10.447965630563646,,,,,,,,,0.004479538263725697,9.096046119982038,,,,,,,,
10.461916912774575,,,,,,,,,0.004514149656732008,9.090415267227716,,,,,,,,
10.475886824284464,,,,,,,,,0.0045490284765254616,9.084787900219,,,,,,,,
10.489875389969226,,,,,,,,,0.004584176789393513,9.079164016798051,,,,,,,,
10.503882634737984,,,,,,,,,0.004619596677588883,9.07354361480838,,,,,,,,
10.51790858353312,,,,,,,,,0.004655290239452914,9.067926692094824,,,,,,,,
10.531953261330328,,,,,,,,,0.004691259589539914,9.06231324650356,,,,,,,,
10.546016693138645,,,,,,,,,0.0047275068587424,9.056703275882096,,,,,,,,
10.560098904000506,,,,,,,,,0.004764034194417352,9.051096778079277,,,,,,,,
10.574199918991788,,,,,,,,,0.004800843760513402,9.045493750945269,,,,,,,,
10.588319763221847,,,,,,,,,0.004837937737699063,9.039894192331577,,,,,,,,
10.602458461833573,,,,,,,,,0.004875318323491901,9.034298100091036,,,,,,,,
10.616616040003423,,,,,,,,,0.004912987732388703,9.028705472077807,,,,,,,,
10.630792522941482,,,,,,,,,0.0049509481959967025,9.023116306147383,,,,,,,,
10.644987935891493,,,,,,,,,0.004989201963165778,9.017530600156578,,,,,,,,
10.659202304130899,,,,,,,,,0.005027751300121608,9.011948351963541,,,,,,,,
10.673435652970909,,,,,,,,,0.005066598490600047,9.006369559427743,,,,,,,,
10.687688007756526,,,,,,,,,0.005105745835982335,9.00079422040998,,,,,,,,
10.701959393866595,,,,,,,,,0.005145195655431465,8.99522233277237,,,,,,,,
10.716249836713851,,,,,,,,,0.005184950286029551,8.98965389437836,,,,,,,,
10.730559361744964,,,,,,,,,0.005225012082916313,8.984088903092715,,,,,,,,
10.74488799444058,,,,,,,,,0.005265383419428585,8.978527356781521,,,,,,,,
