Photon Energy / eV,4s,4p,5s,4d,5p,6s,4f,5d,6p,7s,6d,5f,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
10.2,,,,,,,,,,0.01,10.489999999999998,,,,,,,
10.21362017100584,,,,,,,,,,0.01005357385531136,10.479850962989058,,,,,,,
10.22725852917425,,,,,,,,,,0.010107434726420008,10.46971174513467,,,,,,,
10.24091509879075,,,,,,,,,,0.010161584150980231,10.459582336936839,,,,,,,
10.25458990417328,,,,,,,,,,0.010216023674884108,10.449462728904756,,,,,,,
10.26828296967226,,,,,,,,,,0.010270754852305676,10.439352911556794,,,,,,,
10.281994319670622,,,,,,,,,,0.010325779245745263,10.429252875420506,,,,,,,
10.29572397858386,,,,,,,,,,0.010381098426074138,10.419162611032597,,,,,,,
10.30947197086006,,,,,,,,,,0.010436713972579286,10.409082108938948,,,,,,,
10.323238320979964,,,,,,,,,,0.010492627473008583,10.399011359694569,,,,,,,
10.337023053457003,,,,,,,,,,0.01054884052361608,10.388950353863612,,,,,,,
10.350826192837335,,,,,,,,,,0.010605354729207562,10.37889908201936,,,,,,,
10.3646477636999,,,,,,,,,,0.010662171703186377,10.368857534744219,,,,,,,
10.378487790656457,,,,,,,,,,0.010719293067599516,10.358825702629701,,,,,,,
10.39234629835163,,,,,,,,,,0.010776720453183874,10.348803576276424,,,,,,,
10.406223311462949,,,,,,,,,,0.010834455499412858,10.3387911462941,,,,,,,
10.420118854700899,,,,,,,,,,0.01089249985454315,10.328788403301523,,,,,,,
10.434032952808957,,,,,,,,,,0.010950855175661774,10.318795337926568,,,,,,,
10.447965630563646,,,,,,,,,,0.01100952312873343,10.308811940806173,,,,,,,
10.461916912774575,,,,,,,,,,0.011068505388648031,10.298838202586337,,,,,,,
10.475886824284464,,,,,,,,,,0.011127803639268475,10.28887411392211,,,,,,,
10.489875389969226,,,,,,,,,,0.011187419573478815,10.278919665477583,,,,,,,
10.503882634737984,,,,,,,,,,0.011247354893232512,10.268974847925874,,,,,,,
10.51790858353312,,,,,,,,,,0.011307611309601067,10.25903965194913,,,,,,,
10.531953261330328,,,,,,,,,,0.011368190542822829,10.249114068238518,,,,,,,
10.546016693138645,,,,,,,,,,0.011429094322352144,10.239198087494199,,,,,,,
10.560098904000506,,,,,,,,,,0.011490324386908703,10.229291700425339,,,,,,,
10.574199918991788,,,,,,,,,,0.01155188248452718,10.219394897750092,,,,,,,
10.588319763221847,,,,,,,,,,0.01161377037260717,10.209507670195595,,,,,,,
10.602458461833573,,,,,,,,,,0.011675989817963306,10.19963000849795,,,,,,,
10.616616040003423,,,,,,,,,,0.011738542596875753,10.189761903402225,,,,,,,
10.630792522941482,,,,,,,,,,0.01180143049514088,10.179903345662444,,,,,,,
10.644987935891493,,,,,,,,,,0.011864655308122272,10.170054326041567,,,,,,,
10.659202304130899,,,,,,,,,,0.011928218840801922,10.160214835311512,,,,,,,
10.673435652970909,,,,,,,,,,0.011992122907831852,10.150384864253105,,,,,,,
10.687688007756526,,,,,,,,,,0.012056369333585875,10.1405644036561,,,,,,,
10.701959393866595,,,,,,,,,,0.012120959952211659,10.130753444319156,,,,,,,
10.716249836713851,,,,,,,,,,0.012185896607683112,10.120951977049842,,,,,,,
10.730559361744964,,,,,,,,,,0.012251181153853033,10.111159992664614,,,,,,,
10.74488799444058,,,,,,,,,,0.012316815454506004,10.101377481988818,,,,,,,
10.75923576031537,,,,,,,,,,0.012382801383411647,10.091604435856674,,,,,,,
