Photon Energy / eV,4s,4p,5s,4d,5p,6s,4f,5d,6p,7s,6d,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
10.2,,,,,,,,,,0.016,23.96,,,,,,,
10.21362017100584,,,,,,,,,,0.016075454757855916,23.932642949629575,,,,,,,
10.22725852917425,,,,,,,,,,0.016151265354492017,23.90531713499391,,,,,,,
10.24091509879075,,,,,,,,,,0.016227433468016382,23.878022520428676,,,,,,,
10.25458990417328,,,,,,,,,,0.016303960784450885,23.850759070310247,,,,,,,
10.26828296967226,,,,,,,,,,0.016380848997768576,23.82352674905568,,,,,,,
10.281994319670622,,,,,,,,,,0.01645809980993113,23.796325521122665,,,,,,,
10.29572397858386,,,,,,,,,,0.016535714930926582,23.769155351009445,,,,,,,
10.30947197086006,,,,,,,,,,0.016613696078807052,23.742016203254853,,,,,,,
10.323238320979964,,,,,,,,,,0.016692044979726928,23.71490804243816,,,,,,,
10.337023053457003,,,,,,,,,,0.016770763367981015,23.687830833179103,,,,,,,
10.350826192837335,,,,,,,,,,0.01684985298604288,23.660784540137797,,,,,,,
10.3646477636999,,,,,,,,,,0.016929315584603474,23.63376912801474,,,,,,,
10.378487790656457,,,,,,,,,,0.01700915292260989,23.606784561550715,,,,,,,
10.39234629835163,,,,,,,,,,0.017089366767304243,23.57983080552675,,,,,,,
10.406223311462949,,,,,,,,,,0.01716995889426286,23.55290782476411,,,,,,,
10.420118854700899,,,,,,,,,,0.017250931087435514,23.526015584124202,,,,,,,
10.434032952808957,,,,,,,,,,0.017332285139184986,23.499154048508583,,,,,,,
10.447965630563646,,,,,,,,,,0.017414022850326658,23.472323182858855,,,,,,,
10.461916912774575,,,,,,,,,,0.017496146030168486,23.445522952156654,,,,,,,
10.475886824284464,,,,,,,,,,0.017578656496550868,23.418753321423637,,,,,,,
10.489875389969226,,,,,,,,,,0.01766155607588709,23.39201425572135,,,,,,,
10.503882634737984,,,,,,,,,,0.017744846603203628,23.36530572015125,,,,,,,
10.51790858353312,,,,,,,,,,0.01782852992218082,23.33862767985465,,,,,,,
10.531953261330328,,,,,,,,,,0.01791260788519363,23.311980100012647,,,,,,,
10.546016693138645,,,,,,,,,,0.01799708235335271,23.2853629458461,,,,,,,
10.560098904000506,,,,,,,,,,0.018081955196545527,23.258776182615584,,,,,,,
10.574199918991788,,,,,,,,,,0.01816722829347783,23.23221977562133,,,,,,,
10.588319763221847,,,,,,,,,,0.018252903531715166,23.205693690203198,,,,,,,
10.602458461833573,,,,,,,,,,0.018338982807724724,23.1791978917406,,,,,,,
10.616616040003423,,,,,,,,,,0.018425468026917267,23.152732345652517,,,,,,,
10.630792522941482,,,,,,,,,,0.01851236110368932,23.126297017397384,,,,,,,
10.644987935891493,,,,,,,,,,0.018599663961465607,23.099891872473066,,,,,,,
10.659202304130899,,,,,,,,,,0.01868737853274147,23.07351687641686,,,,,,,
10.673435652970909,,,,,,,,,,0.018775506759125826,23.04717199480538,,,,,,,
10.687688007756526,,,,,,,,,,0.01886405059138407,23.020857193254557,,,,,,,
10.701959393866595,,,,,,,,,,0.01895301198948123,22.99457243741957,,,,,,,
10.716249836713851,,,,,,,,,,0.019042392922625388,22.968317692994823,,,,,,,
