Photon Energy / eV,2s,2p,3s,3p,4s,3d,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
10.2,,,,,0.068,,,,,,,,,,,,,
10.21362017100584,,,,,0.06819875288722593,,,,,,,,,,,,,
10.22725852917425,,,,,0.06839808669666039,,,,,,,,,,,,,
10.24091509879075,,,,,0.0685980031262441,,,,,,,,,,,,,
10.25458990417328,,,,,0.0687985038788805,,,,,,,,,,,,,
10.26828296967226,,,,,0.06899959066245036,,,,,,,,,,,,,
10.281994319670622,,,,,0.06920126518982637,,,,,,,,,,,,,
10.29572397858386,,,,,0.06940352917888772,,,,,,,,,,,,,
10.30947197086006,,,,,0.06960638435253437,,,,,,,,,,,,,
10.323238320979964,,,,,0.06980983243870237,,,,,,,,,,,,,
10.337023053457003,,,,,0.0700138751703781,,,,,,,,,,,,,
10.350826192837335,,,,,0.07021851428561321,,,,,,,,,,,,,
10.3646477636999,,,,,0.07042375152753944,,,,,,,,,,,,,
10.378487790656457,,,,,0.07062958864438325,,,,,,,,,,,,,
10.39234629835163,,,,,0.07083602738948104,,,,,,,,,,,,,
10.406223311462949,,,,,0.0710430695212939,,,,,,,,,,,,,
10.420118854700899,,,,,0.07125071680342256,,,,,,,,,,,,,
10.434032952808957,,,,,0.07145897100462255,,,,,,,,,,,,,
10.447965630563646,,,,,0.07166783389881905,,,,,,,,,,,,,
10.461916912774575,,,,,0.07187730726512233,,,,,,,,,,,,,
10.475886824284464,,,,,0.07208739288784244,,,,,,,,,,,,,
10.489875389969226,,,,,0.07229809255650495,,,,,,,,,,,,,
10.503882634737984,,,,,0.07250940806586571,,,,,,,,,,,,,
10.51790858353312,,,,,0.07272134121592651,,,,,,,,,,,,,
10.531953261330328,,,,,0.07293389381195013,,,,,,,,,,,,,
10.546016693138645,,,,,0.07314706766447593,,,,,,,,,,,,,
10.560098904000506,,,,,0.07336086458933515,,,,,,,,,,,,,
10.574199918991788,,,,,0.07357528640766632,,,,,,,,,,,,,
10.588319763221847,,,,,0.073790334945931,,,,,,,,,,,,,
