Photon Energy / eV,1s,2s,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
10.2,,2.027,,,,,,,,,,,,,,,,
10.21362017100584,,2.026633489736154,,,,,,,,,,,,,,,,
10.22725852917425,,2.0262670457425465,,,,,,,,,,,,,,,,
10.24091509879075,,2.025900668007195,,,,,,,,,,,,,,,,
10.25458990417328,,2.025534356518119,,,,,,,,,,,,,,,,
10.26828296967226,,2.02516811126334,,,,,,,,,,,,,,,,
10.281994319670622,,2.0248019322308823,,,,,,,,,,,,,,,,
10.29572397858386,,2.024435819408772,,,,,,,,,,,,,,,,
10.30947197086006,,2.0240697727850367,,,,,,,,,,,,,,,,
10.323238320979964,,2.0237037923477077,,,,,,,,,,,,,,,,
10.337023053457003,,2.023337878084817,,,,,,,,,,,,,,,,
10.350826192837335,,2.022972029984399,,,,,,,,,,,,,,,,
10.3646477636999,,2.0226062480344913,,,,,,,,,,,,,,,,
10.378487790656457,,2.0222405322231327,,,,,,,,,,,,,,,,
10.39234629835163,,2.021874882538365,,,,,,,,,,,,,,,,
10.406223311462949,,2.02150929896823,,,,,,,,,,,,,,,,
10.420118854700899,,2.0211437815007747,,,,,,,,,,,,,,,,
10.434032952808957,,2.0207783301240463,,,,,,,,,,,,,,,,
10.447965630563646,,2.0204129448260946,,,,,,,,,,,,,,,,
10.461916912774575,,2.0200476255949713,,,,,,,,,,,,,,,,
10.475886824284464,,2.0196823724187314,,,,,,,,,,,,,,,,
10.489875389969226,,2.019317185285431,,,,,,,,,,,,,,,,
10.503882634737984,,2.018952064183128,,,,,,,,,,,,,,,,
10.51790858353312,,2.0185870090998836,,,,,,,,,,,,,,,,
10.531953261330328,,2.0182220200237606,,,,,,,,,,,,,,,,
10.546016693138645,,2.017857096942824,,,,,,,,,,,,,,,,
10.560098904000506,,2.0174922398451405,,,,,,,,,,,,,,,,
