Photon Energy / eV,2s,2p,3s,3p,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
10.2,,,,13.089999999999998,,,,,,,,,,,,,,
10.21362017100584,,,,13.004328615222136,,,,,,,,,,,,,,
10.22725852917425,,,,12.919217932214309,,,,,,,,,,,,,,
10.24091509879075,,,,12.834664281297595,,,,,,,,,,,,,,
10.25458990417328,,,,12.750664016810376,,,,,,,,,,,,,,
10.26828296967226,,,,12.66721351695114,,,,,,,,,,,,,,
10.281994319670622,,,,12.584309183622334,,,,,,,,,,,,,,
10.29572397858386,,,,12.501947442275192,,,,,,,,,,,,,,
10.30947197086006,,,,12.42012474175573,,,,,,,,,,,,,,
10.323238320979964,,,,12.338837554151452,,,,,,,,,,,,,,
10.337023053457003,,,,12.258082374639363,,,,,,,,,,,,,,
10.350826192837335,,,,12.177855721334822,,,,,,,,,,,,,,
10.3646477636999,,,,12.09815413514141,,,,,,,,,,,,,,
10.378487790656457,,,,12.018974179601793,,,,,,,,,,,,,,
10.39234629835163,,,,11.940312440749551,,,,,,,,,,,,,,
10.406223311462949,,,,11.862165526961977,,,,,,,,,,,,,,
10.420118854700899,,,,11.784530068813845,,,,,,,,,,,,,,
10.434032952808957,,,,11.707402718932132,,,,,,,,,,,,,,
10.447965630563646,,,,11.630780151851688,,,,,,,,,,,,,,
10.461916912774575,,,,11.554659063871826,,,,,,,,,,,,,,
10.475886824284464,,,,11.479036172913998,,,,,,,,,,,,,,
10.489875389969226,,,,11.403908218380101,,,,,,,,,,,,,,
10.503882634737984,,,,11.329271961012015,,,,,,,,,,,,,,
10.51790858353312,,,,11.255124182751901,,,,,,,,,,,,,,
10.531953261330328,,,,11.181461686603448,,,,,,,,,,,,,,
10.546016693138645,,,,11.10828129649406,,,,,,,,,,,,,,
10.560098904000506,,,,11.035579857137858,,,,,,,,,,,,,,
10.574199918991788,,,,10.963354233899686,,,,,,,,,,,,,,
10.588319763221847,,,,10.89160131265993,,,,,,,,,,,,,,
10.602458461833573,,,,10.820317999680253,,,,,,,,,,,,,,
10.616616040003423,,,,10.749501221470213,,,,,,,,,,,,,,
10.630792522941482,,,,10.67914792465473,,,,,,,,,,,,,,
10.644987935891493,,,,10.60925507584242,,,,,,,,,,,,,,
10.659202304130899,,,,10.539819661494905,,,,,,,,,,,,,,
10.673435652970909,,,,10.470838687796721,,,,,,,,,,,,,,
10.687688007756526,,,,10.402309180526352,,,,,,,,,,,,,,
10.701959393866595,,,,10.334228184927944,,,,,,,,,,,,,,
10.716249836713851,,,,10.266592765583926,,,,,,,,,,,,,,
10.730559361744964,,,,10.199400006288437,,,,,,,,,,,,,,
10.74488799444058,,,,10.132647009921588,,,,,,,,,,,,,,
10.75923576031537,,,,10.06633089832455,,,,,,,,,,,,,,
10.77360268491808,,,,10.000448812175454,,,,,,,,,,,,,,
