Photon Energy / eV,4s,4p,5s,4d,5p,6s,4f,5d,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
10.2,,,,,,0.013999999999999999,,10.75,,,,,,,,,,
10.21362017100584,,,,,,0.014045966741564844,,10.756499996949977,,,,,,,,,,
10.22725852917425,,,,,,0.014092084407510405,,10.763003924128823,,,,,,,,,,
10.24091509879075,,,,,,0.014138353493372552,,10.76951178391295,,,,,,,,,,
10.25458990417328,,,,,,0.014184774496314145,,10.77602357868022,,,,,,,,,,
10.26828296967226,,,,,,0.014231347915130402,,10.782539310809923,,,,,,,,,,
10.281994319670622,,,,,,0.014278074250254276,,10.789058982682786,,,,,,,,,,
10.29572397858386,,,,,,0.0143249540037618,,10.795582596680976,,,,,,,,,,
10.30947197086006,,,,,,0.014371987679377462,,10.802110155188105,,,,,,,,,,
10.323238320979964,,,,,,0.014419175782479683,,10.808641660589219,,,,,,,,,,
10.337023053457003,,,,,,0.014466518820106201,,10.81517711527082,,,,,,,,,,
10.350826192837335,,,,,,0.014514017300959544,,10.821716521620841,,,,,,,,,,
10.3646477636999,,,,,,0.014561671735412469,,10.828259882028659,,,,,,,,,,
10.378487790656457,,,,,,0.01460948263551345,,10.834807198885095,,,,,,,,,,
10.39234629835163,,,,,,0.01465745051499222,,10.841358474582428,,,,,,,,,,
10.406223311462949,,,,,,0.014705575889265233,,10.847913711514371,,,,,,,,,,
10.420118854700899,,,,,,0.014753859275441232,,10.854472912076087,,,,,,,,,,
10.434032952808957,,,,,,0.014802301192326827,,10.861036078664183,,,,,,,,,,
10.447965630563646,,,,,,0.014850902160432021,,10.867603213676732,,,,,,,,,,
10.461916912774575,,,,,,0.014899662701975852,,10.87417431951324,,,,,,,,,,
10.475886824284464,,,,,,0.014948583340891924,,10.880749398574668,,,,,,,,,,
10.489875389969226,,,,,,0.014997664602834164,,10.88732845326343,,,,,,,,,,
10.503882634737984,,,,,,0.015046907015182359,,10.893911485983393,,,,,,,,,,
10.51790858353312,,,,,,0.015096311107047865,,10.900498499139871,,,,,,,,,,
10.531953261330328,,,,,,0.015145877409279307,,10.907089495139651,,,,,,,,,,
10.546016693138645,,,,,,0.01519560645446825,,10.913684476390957,,,,,,,,,,
10.560098904000506,,,,,,0.015245498776954932,,10.920283445303472,,,,,,,,,,
10.574199918991788,,,,,,0.015295554912834039,,10.926886404288343,,,,,,,,,,
10.588319763221847,,,,,,0.015345775399960408,,10.933493355758161,,,,,,,,,,
10.602458461833573,,,,,,0.01539616077795484,,10.940104302127,,,,,,,,,,
10.616616040003423,,,,,,0.015446711588209918,,10.946719245810371,,,,,,,,,,
10.630792522941482,,,,,,0.015497428373895774,,10.953338189225256,,,,,,,,,,
10.644987935891493,,,,,,0.015548311679965975,,10.959961134790097,,,,,,,,,,
10.659202304130899,,,,,,0.01559936205316331,,10.966588084924794,,,,,,,,,,
10.673435652970909,,,,,,0.015650580042025748,,10.97321904205071,,,,,,,,,,
10.687688007756526,,,,,,0.015701966196892302,,10.979854008590687,,,,,,,,,,
10.701959393866595,,,,,,0.01575352106990891,,10.986492986969015,,,,,,,,,,
10.716249836713851,,,,,,0.015805245215034392,,10.993135979611456,,,,,,,,,,
10.730559361744964,,,,,,0.015857139188046432,,10.999782988945231,,,,,,,,,,
10.74488799444058,,,,,,0.015909203546547485,,11.00643401739905,,,,,,,,,,
10.75923576031537,,,,,,0.01596143884997081,,11.013089067403069,,,,,,,,,,
10.77360268491808,,,,,,0.016013845659586506,,11.019748141388924,,,,,,,,,,
10.787988793831566,,,,,,0.016066424538507474,,11.026411241789713,,,,,,,,,,
10.802394112672848,,,,,,0.016119176051695515,,11.033078371040022,,,,,,,,,,
10.816818667093155,,,,,,0.01617210076596743,,11.039749531575891,,,,,,,,,,
10.831262482777957,,,,,,0.016225199250000995,,11.046424725834845,,,,,,,,,,
10.845725585447031,,,,,,0.016278472074341205,,11.053103956255875,,,,,,,,,,
10.860208000854502,,,,,,0.016331919811406324,,11.05978722527945,,,,,,,,,,
10.874709754788878,,,,,,0.016385543035494093,,11.06647453534751,,,,,,,,,,
10.889230873073103,,,,,,0.016439342322787823,,11.073165888903487,,,,,,,,,,
10.903771381564605,,,,,,0.016493318251362646,,11.079861288392273,,,,,,,,,,
10.91833130615534,,,,,,0.01654747140119173,,11.086560736260248,,,,,,,,,,
10.932910672771834,,,,,,0.016601802354152463,,11.093264234955262,,,,,,,,,,
10.947509507375239,,,,,,0.01665631169403274,,11.099971786926652,,,,,,,,,,
10.962127835961367,,,,,,0.01671100000653725,,11.106683394625243,,,,,,,,,,
10.976765684560746,,,,,,0.01676586787929373,,11.113399060503328,,,,,,,,,,
10.991423079238663,,,,,,0.01682091590185928,,11.12011878701469,,,,,,,,,,
11.006100046095213,,,,,,0.016876144665726792,,11.126842576614594,,,,,,,,,,
11.02079661126533,,,,,,0.0169315547643311,,11.133570431759791,,,,,,,,,,
11.035512800918863,,,,,,0.016987146793055605,,11.14030235490851,,,,,,,,,,
11.050248641260591,,,,,,0.0170429213492385,,11.147038348520484,,,,,,,,,,
11.0650041585303,,,,,,0.017098879032179236,,11.153778415056916,,,,,,,,,,
11.079779379002801,,,,,,0.017155020443145007,,11.160522556980505,,,,,,,,,,
11.094574328987996,,,,,,0.01721134618537713,,11.167270776755432,,,,,,,,,,
11.109389034830919,,,,,,0.017267856864097573,,11.174023076847382,,,,,,,,,,
11.124223522911782,,,,,,0.017324553086515485,,11.180779459723519,,,,,,,,,,
11.13907781964602,,,,,,0.017381435461833652,,11.187539927852502,,,,,,,,,,
11.153951951484348,,,,,,0.017438504601255084,,11.194304483704476,,,,,,,,,,
11.168845944912793,,,,,,0.017495761117989603,,11.201073129751098,,,,,,,,,,
11.183759826452752,,,,,,0.017553205627260385,,11.207845868465501,,,,,,,,,,
11.198693622661045,,,,,,0.01761083874631061,,11.214622702322323,,,,,,,,,,
11.213647360129933,,,,,,0.01766866109441002,,11.221403633797694,,,,,,,,,,
11.228621065487202,,,,,,0.017726673292861705,,11.228188665369242,,,,,,,,,,
11.243614765396194,,,,,,0.01778487596500867,,11.234977799516088,,,,,,,,,,
11.258628486555848,,,,,,0.017843269736240546,,11.24177103871887,,,,,,,,,,
11.273662255700762,,,,,,0.017901855234000376,,11.248568385459707,,,,,,,,,,
11.288716099601224,,,,,,0.017960633087791274,,11.255369842222228,,,,,,,,,,
11.303790045063277,,,,,,0.018019603929183236,,11.262175411491558,,,,,,,,,,
11.318884118928755,,,,,,0.018078768391819926,,11.268985095754324,,,,,,,,,,
11.333998348075333,,,,,,0.018138127111425463,,11.275798897498671,,,,,,,,,,
11.349132759416577,,,,,,0.018197680725811256,,11.282616819214233,,,,,,,,,,
11.364287379901992,,,,,,0.018257429874882897,,11.289438863392153,,,,,,,,,,
11.379462236517073,,,,,,0.018317375200646992,,11.296265032525083,,,,,,,,,,
11.394657356283334,,,,,,0.018377517347218025,,11.30309532910718,,,,,,,,,,
11.409872766258385,,,,,,0.018437856960825387,,11.309929755634103,,,,,,,,,,
11.425108493535966,,,,,,0.018498394689820227,,11.31676831460304,,,,,,,,,,
11.440364565245988,,,,,,0.018559131184682477,,11.32361100851267,,,,,,,,,,
11.455641008554595,,,,,,0.01862006709802779,,11.330457839863186,,,,,,,,,,
11.470937850664205,,,,,,0.01868120308461458,,11.33730881115629,,,,,,,,,,
11.48625511881356,,,,,,0.01874253980135107,,11.344163924895216,,,,,,,,,,
11.50159284027777,,,,,,0.018804077907302326,,11.351023183584692,,,,,,,,,,
11.516951042368369,,,,,,0.01886581806369733,,11.357886589730963,,,,,,,,,,
11.532329752433364,,,,,,0.018927760933936146,,11.364754145841788,,,,,,,,,,
11.547728997857273,,,,,,0.018989907183596964,,11.371625854426458,,,,,,,,,,
11.563148806061186,,,,,,0.019052257480443303,,11.378501717995764,,,,,,,,,,
11.578589204502812,,,,,,0.01911481249443121,,11.385381739062023,,,,,,,,,,
11.594050220676507,,,,,,0.019177572897716356,,11.392265920139065,,,,,,,,,,
11.60953188211336,,,,,,0.019240539364661382,,11.39915426374225,,,,,,,,,,
11.625034216381218,,,,,,0.01930371257184306,,11.406046772388443,,,,,,,,,,
11.640557251084733,,,,,,0.019367093198059633,,11.412943448596053,,,,,,,,,,
11.656101013865422,,,,,,0.019430681924338028,,11.419844294884996,,,,,,,,,,
11.671665532401715,,,,,,0.019494479433941215,,11.426749313776712,,,,,,,,,,
11.687250834408998,,,,,,0.01955848641237559,,11.433658507794172,,,,,,,,,,
11.702856947639663,,,,,,0.01962270354739825,,11.440571879461862,,,,,,,,,,
11.718483899883166,,,,,,0.019687131529024453,,11.447489431305815,,,,,,,,,,
11.734131718966067,,,,,,0.019751771049535002,,11.454411165853571,,,,,,,,,,
11.749800432752084,,,,,,0.019816622803483716,,11.461337085634206,,,,,,,,,,
11.765490069142146,,,,,,0.019881687487704865,,11.468267193178324,,,,,,,,,,
11.781200656074423,,,,,,0.019946965801320608,,11.475201491018062,,,,,,,,,,
11.796932221524408,,,,,,0.02001245844574861,,11.482139981687077,,,,,,,,,,
11.812684793504943,,,,,,0.020078166124709536,,11.48908266772058,,,,,,,,,,
11.828458400066278,,,,,,0.020144089544234578,,11.496029551655297,,,,,,,,,,
11.844253069296117,,,,,,0.020210229412673066,,11.502980636029493,,,,,,,,,,
11.860068829319673,,,,,,0.020276586440700108,,11.50993592338296,,,,,,,,,,
11.875905708299708,,,,,,0.020343161341324176,,11.516895416257045,,,,,,,,,,
11.891763734436596,,,,,,0.020409954829894782,,11.523859117194615,,,,,,,,,,
11.907642935968369,,,,,,0.02047696762411021,,11.530827028740077,,,,,,,,,,
11.923543341170758,,,,,,0.020544200444025155,,11.537799153439375,,,,,,,,,,
11.939464978357256,,,,,,0.020611654012058497,,11.544775493840007,,,,,,,,,,
11.955407875879164,,,,,,0.02067932905300109,,11.551756052490996,,,,,,,,,,
11.971372062125644,,,,,,0.02074722629402352,,11.558740831942908,,,,,,,,,,
11.98735756552375,,,,,,0.020815346464683863,,11.565729834747856,,,,,,,,,,
12.003364414538513,,,,,,0.02088369029693564,,11.572723063459495,,,,,,,,,,
12.019392637672967,,,,,,0.020952258525135596,,11.579720520633016,,,,,,,,,,
12.035442263468205,,,,,,0.02102105188605165,,11.586722208825172,,,,,,,,,,
12.051513320503435,,,,,,0.021090071118870752,,11.59372813059425,,,,,,,,,,
12.067605837396025,,,,,,0.02115931696520684,,11.600738288500086,,,,,,,,,,
12.083719842801555,,,,,,0.021228790169108863,,11.60775268510406,,,,,,,,,,
12.09985536541387,,,,,,0.021298491477068707,,11.614771322969101,,,,,,,,,,
12.116012433965132,,,,,,0.021368421638029232,,11.621794204659704,,,,,,,,,,
12.132191077225865,,,,,,0.021438581403392373,,11.628821332741893,,,,,,,,,,
