Photon Energy / eV,4s,4p,5s,4d,5p,6s,4f,5d,6p,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
10.2,,,,,,,,,28.09,,,,,,,,,
10.21362017100584,,,,,,,,,27.971288500596014,,,,,,,,,
10.22725852917425,,,,,,,,,27.853078689340492,,,,,,,,,
10.24091509879075,,,,,,,,,27.735368446042916,,,,,,,,,
10.25458990417328,,,,,,,,,27.618155659472887,,,,,,,,,
10.26828296967226,,,,,,,,,27.501438227322343,,,,,,,,,
10.281994319670622,,,,,,,,,27.385214056167772,,,,,,,,,
10.29572397858386,,,,,,,,,27.269481061432707,,,,,,,,,
10.30947197086006,,,,,,,,,27.15423716735041,,,,,,,,,
10.323238320979964,,,,,,,,,27.0394803069265,,,,,,,,,
10.337023053457003,,,,,,,,,26.92520842190193,,,,,,,,,
10.350826192837335,,,,,,,,,26.81141946271614,,,,,,,,,
10.3646477636999,,,,,,,,,26.698111388470206,,,,,,,,,
10.378487790656457,,,,,,,,,26.585282166890273,,,,,,,,,
10.39234629835163,,,,,,,,,26.472929774291142,,,,,,,,,
10.406223311462949,,,,,,,,,26.36105219553988,,,,,,,,,
10.420118854700899,,,,,,,,,26.24964742401979,,,,,,,,,
10.434032952808957,,,,,,,,,26.13871346159431,,,,,,,,,
10.447965630563646,,,,,,,,,26.028248318571276,,,,,,,,,
10.461916912774575,,,,,,,,,25.918250013667098,,,,,,,,,
10.475886824284464,,,,,,,,,25.808716573971484,,,,,,,,,
10.489875389969226,,,,,,,,,25.69964603491171,,,,,,,,,
10.503882634737984,,,,,,,,,25.591036440217653,,,,,,,,,
10.51790858353312,,,,,,,,,25.482885841886564,,,,,,,,,
10.531953261330328,,,,,,,,,25.375192300148175,,,,,,,,,
10.546016693138645,,,,,,,,,25.267953883429943,,,,,,,,,
10.560098904000506,,,,,,,,,25.161168668322322,,,,,,,,,
10.574199918991788,,,,,,,,,25.054834739544354,,,,,,,,,
10.588319763221847,,,,,,,,,24.948950189909223,,,,,,,,,
10.602458461833573,,,,,,,,,24.84351312029016,,,,,,,,,
10.616616040003423,,,,,,,,,24.738521639586256,,,,,,,,,
10.630792522941482,,,,,,,,,24.63397386468867,,,,,,,,,
10.644987935891493,,,,,,,,,24.52986792044669,,,,,,,,,
