Photon Energy / eV,4s,4p,5s,4d,5p,6s,4f,5d,6p,7s,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
10.2,,,,,,,,,,0.033,,,,,,,,
10.21362017100584,,,,,,,,,,0.03307341023101466,,,,,,,,
10.22725852917425,,,,,,,,,,0.033146983766938955,,,,,,,,
10.24091509879075,,,,,,,,,,0.033220720971053205,,,,,,,,
10.25458990417328,,,,,,,,,,0.03329462220744589,,,,,,,,
10.26828296967226,,,,,,,,,,0.03336868784101542,,,,,,,,
10.281994319670622,,,,,,,,,,0.03344291823747193,,,,,,,,
10.29572397858386,,,,,,,,,,0.03351731376333916,,,,,,,,
10.30947197086006,,,,,,,,,,0.03359187478595606,,,,,,,,
10.323238320979964,,,,,,,,,,0.03366660167347887,,,,,,,,
10.337023053457003,,,,,,,,,,0.03374149479488277,,,,,,,,
10.350826192837335,,,,,,,,,,0.033816554519963744,,,,,,,,
10.3646477636999,,,,,,,,,,0.033891781219340424,,,,,,,,
10.378487790656457,,,,,,,,,,0.033967175264455904,,,,,,,,
10.39234629835163,,,,,,,,,,0.03404273702757952,,,,,,,,
10.406223311462949,,,,,,,,,,0.034118466881808786,,,,,,,,
10.420118854700899,,,,,,,,,,0.034194365201071206,,,,,,,,
10.434032952808957,,,,,,,,,,0.034270432360126064,,,,,,,,
10.447965630563646,,,,,,,,,,0.03434666873456634,,,,,,,,
10.461916912774575,,,,,,,,,,0.03442307470082057,,,,,,,,
10.475886824284464,,,,,,,,,,0.03449965063615458,,,,,,,,
10.489875389969226,,,,,,,,,,0.03457639691867353,,,,,,,,
10.503882634737984,,,,,,,,,,0.03465331392732367,,,,,,,,
10.51790858353312,,,,,,,,,,0.034730402041894225,,,,,,,,
10.531953261330328,,,,,,,,,,0.0348076616430193,,,,,,,,
10.546016693138645,,,,,,,,,,0.03488509311217973,,,,,,,,
10.560098904000506,,,,,,,,,,0.03496269683170498,,,,,,,,
10.574199918991788,,,,,,,,,,0.03504047318477501,,,,,,,,
10.588319763221847,,,,,,,,,,0.035118422555422205,,,,,,,,
10.602458461833573,,,,,,,,,,0.03519654532853324,,,,,,,,
10.616616040003423,,,,,,,,,,0.035274841889850986,,,,,,,,
10.630792522941482,,,,,,,,,,0.03535331262597643,,,,,,,,
10.644987935891493,,,,,,,,,,0.0354319579243706,,,,,,,,
10.659202304130899,,,,,,,,,,0.03551077817335635,,,,,,,,
10.673435652970909,,,,,,,,,,0.03558977376212049,,,,,,,,
10.687688007756526,,,,,,,,,,0.035668945080715546,,,,,,,,
10.701959393866595,,,,,,,,,,0.035748292520061745,,,,,,,,
10.716249836713851,,,,,,,,,,0.03582781647194896,,,,,,,,
10.730559361744964,,,,,,,,,,0.03590751732903855,,,,,,,,
10.74488799444058,,,,,,,,,,0.03598739548486545,,,,,,,,
10.75923576031537,,,,,,,,,,0.03606745133384,,,,,,,,
10.77360268491808,,,,,,,,,,0.03614768527124992,,,,,,,,
10.787988793831566,,,,,,,,,,0.036228097693262275,,,,,,,,
10.802394112672848,,,,,,,,,,0.03630868899692543,,,,,,,,
10.816818667093155,,,,,,,,,,0.036389459580171035,,,,,,,,
10.831262482777957,,,,,,,,,,0.036470409841815855,,,,,,,,
10.845725585447031,,,,,,,,,,0.03655154018156395,,,,,,,,
10.860208000854502,,,,,,,,,,0.0366328510000085,,,,,,,,
10.874709754788878,,,,,,,,,,0.03671434269863385,,,,,,,,
10.889230873073103,,,,,,,,,,0.036796015679817426,,,,,,,,
10.903771381564605,,,,,,,,,,0.036877870346831806,,,,,,,,
10.91833130615534,,,,,,,,,,0.03695990710384665,,,,,,,,
10.932910672771834,,,,,,,,,,0.0370421263559307,,,,,,,,
10.947509507375239,,,,,,,,,,0.03712452850905383,,,,,,,,
