Photon Energy / eV,3s,3p,4s,3d,4p,5s,4d,5p,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
10.2,,,,,,,,12.400000000000002,,,,,,,,,,
10.21362017100584,,,,,,,,12.348127407779987,,,,,,,,,,
10.22725852917425,,,,,,,,12.296471812803814,,,,,,,,,,
10.24091509879075,,,,,,,,12.245032307312647,,,,,,,,,,
10.25458990417328,,,,,,,,12.193807987345053,,,,,,,,,,
10.26828296967226,,,,,,,,12.142797952721127,,,,,,,,,,
10.281994319670622,,,,,,,,12.092001307026647,,,,,,,,,,
10.29572397858386,,,,,,,,12.041417157597326,,,,,,,,,,
10.30947197086006,,,,,,,,11.991044615503203,,,,,,,,,,
10.323238320979964,,,,,,,,11.940882795532879,,,,,,,,,,
10.337023053457003,,,,,,,,11.890930816178068,,,,,,,,,,
10.350826192837335,,,,,,,,11.841187799618067,,,,,,,,,,
10.3646477636999,,,,,,,,11.791652871704342,,,,,,,,,,
10.378487790656457,,,,,,,,11.742325161945157,,,,,,,,,,
10.39234629835163,,,,,,,,11.693203803490286,,,,,,,,,,
10.406223311462949,,,,,,,,11.644287933115772,,,,,,,,,,
10.420118854700899,,,,,,,,11.595576691208759,,,,,,,,,,
10.434032952808957,,,,,,,,11.54706922175239,,,,,,,,,,
10.447965630563646,,,,,,,,11.498764672310758,,,,,,,,,,
10.461916912774575,,,,,,,,11.450662194013905,,,,,,,,,,
10.475886824284464,,,,,,,,11.402760941542999,,,,,,,,,,
10.489875389969226,,,,,,,,11.35506007311534,,,,,,,,,,
10.503882634737984,,,,,,,,11.307558750469656,,,,,,,,,,
10.51790858353312,,,,,,,,11.260256138851352,,,,,,,,,,
10.531953261330328,,,,,,,,11.21315140699784,,,,,,,,,,
10.546016693138645,,,,,,,,11.166243727123929,,,,,,,,,,
10.560098904000506,,,,,,,,11.119532274907284,,,,,,,,,,
10.574199918991788,,,,,,,,11.073016229473932,,,,,,,,,,
10.588319763221847,,,,,,,,11.026694773383843,,,,,,,,,,
10.602458461833573,,,,,,,,10.98056709261656,,,,,,,,,,
10.616616040003423,,,,,,,,10.934632376556898,,,,,,,,,,
10.630792522941482,,,,,,,,10.888889817980695,,,,,,,,,,
10.644987935891493,,,,,,,,10.843338613040611,,,,,,,,,,
10.659202304130899,,,,,,,,10.797977961252078,,,,,,,,,,
10.673435652970909,,,,,,,,10.752807065479116,,,,,,,,,,
10.687688007756526,,,,,,,,10.7078251319204,,,,,,,,,,
10.701959393866595,,,,,,,,10.663031370095291,,,,,,,,,,
10.716249836713851,,,,,,,,10.618424992829954,,,,,,,,,,
10.730559361744964,,,,,,,,10.574005216243513,,,,,,,,,,
10.74488799444058,,,,,,,,10.529771259734279,,,,,,,,,,
10.75923576031537,,,,,,,,10.485722345966034,,,,,,,,,,
10.77360268491808,,,,,,,,10.441857700854372,,,,,,,,,,
10.787988793831566,,,,,,,,10.398176553553096,,,,,,,,,,
10.802394112672848,,,,,,,,10.354678136440663,,,,,,,,,,
10.816818667093155,,,,,,,,10.311361685106682,,,,,,,,,,
10.831262482777957,,,,,,,,10.268226438338568,,,,,,,,,,
