Photon Energy / eV,3s,3p,4s,3d,4p,4d,5s,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
10.2,,,,,,,0.027000000000000003,,,,,,,,,,,
10.21362017100584,,,,,,,0.026966213222149923,,,,,,,,,,,
10.22725852917425,,,,,,,0.026932468723794577,,,,,,,,,,,
10.24091509879075,,,,,,,0.026898766452026983,,,,,,,,,,,
10.25458990417328,,,,,,,0.026865106354006397,,,,,,,,,,,
10.26828296967226,,,,,,,0.0268314883769582,,,,,,,,,,,
10.281994319670622,,,,,,,0.026797912468173785,,,,,,,,,,,
10.29572397858386,,,,,,,0.02676437857501051,,,,,,,,,,,
10.30947197086006,,,,,,,0.02673088664489166,,,,,,,,,,,
10.323238320979964,,,,,,,0.02669743662530623,,,,,,,,,,,
10.337023053457003,,,,,,,0.026664028463808977,,,,,,,,,,,
10.350826192837335,,,,,,,0.026630662108020287,,,,,,,,,,,
10.3646477636999,,,,,,,0.026597337505626057,,,,,,,,,,,
10.378487790656457,,,,,,,0.026564054604377694,,,,,,,,,,,
10.39234629835163,,,,,,,0.026530813352091932,,,,,,,,,,,
10.406223311462949,,,,,,,0.026497613696650855,,,,,,,,,,,
10.420118854700899,,,,,,,0.02646445558600176,,,,,,,,,,,
10.434032952808957,,,,,,,0.026431338968157036,,,,,,,,,,,
10.447965630563646,,,,,,,0.02639826379119417,,,,,,,,,,,
10.461916912774575,,,,,,,0.02636523000325562,,,,,,,,,,,
10.475886824284464,,,,,,,0.026332237552548723,,,,,,,,,,,
10.489875389969226,,,,,,,0.02629928638734563,,,,,,,,,,,
10.503882634737984,,,,,,,0.02626637645598324,,,,,,,,,,,
10.51790858353312,,,,,,,0.026233507706863057,,,,,,,,,,,
10.531953261330328,,,,,,,0.0262006800884512,,,,,,,,,,,
10.546016693138645,,,,,,,0.02616789354927827,,,,,,,,,,,
10.560098904000506,,,,,,,0.026135148037939232,,,,,,,,,,,
10.574199918991788,,,,,,,0.026102443503093424,,,,,,,,,,,
10.588319763221847,,,,,,,0.026069779893464425,,,,,,,,,,,
10.602458461833573,,,,,,,0.026037157157839948,,,,,,,,,,,
10.616616040003423,,,,,,,0.026004575245071816,,,,,,,,,,,
10.630792522941482,,,,,,,0.025972034104075867,,,,,,,,,,,
10.644987935891493,,,,,,,0.02593953368383181,,,,,,,,,,,
10.659202304130899,,,,,,,0.025907073933383283,,,,,,,,,,,
10.673435652970909,,,,,,,0.025874654801837635,,,,,,,,,,,
10.687688007756526,,,,,,,0.025842276238365887,,,,,,,,,,,
10.701959393866595,,,,,,,0.0258099381922027,,,,,,,,,,,
10.716249836713851,,,,,,,0.025777640612646258,,,,,,,,,,,
10.730559361744964,,,,,,,0.02574538344905816,,,,,,,,,,,
10.74488799444058,,,,,,,0.025713166650863414,,,,,,,,,,,
10.75923576031537,,,,,,,0.025680990167550273,,,,,,,,,,,
10.77360268491808,,,,,,,0.025648853948670232,,,,,,,,,,,
10.787988793831566,,,,,,,0.025616757943837918,,,,,,,,,,,
