Photon Energy / eV,4s,4p,5s,4d,5p,6s,4f,5d,6p,7s,5f,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
10.2,,,,,,,,,,0.020000000000000004,,,,,,,,
10.21362017100584,,,,,,,,,,0.020065551097445098,,,,,,,,
10.22725852917425,,,,,,,,,,0.020131317042209003,,,,,,,,
10.24091509879075,,,,,,,,,,0.020197298538465597,,,,,,,,
10.25458990417328,,,,,,,,,,0.02026349629269673,,,,,,,,
10.26828296967226,,,,,,,,,,0.020329911013699773,,,,,,,,
10.281994319670622,,,,,,,,,,0.02039654341259523,,,,,,,,
10.29572397858386,,,,,,,,,,0.020463394202834367,,,,,,,,
10.30947197086006,,,,,,,,,,0.020530464100206734,,,,,,,,
10.323238320979964,,,,,,,,,,0.020597753822848015,,,,,,,,
10.337023053457003,,,,,,,,,,0.020665264091247595,,,,,,,,
10.350826192837335,,,,,,,,,,0.02073299562825629,,,,,,,,
10.3646477636999,,,,,,,,,,0.02080094915909412,,,,,,,,
10.378487790656457,,,,,,,,,,0.02086912541135803,,,,,,,,
10.39234629835163,,,,,,,,,,0.02093752511502973,,,,,,,,
10.406223311462949,,,,,,,,,,0.021006149002483453,,,,,,,,
10.420118854700899,,,,,,,,,,0.02107499780849385,,,,,,,,
10.434032952808957,,,,,,,,,,0.021144072270243834,,,,,,,,
10.447965630563646,,,,,,,,,,0.02121337312733248,,,,,,,,
10.461916912774575,,,,,,,,,,0.021282901121782945,,,,,,,,
10.475886824284464,,,,,,,,,,0.02135265699805037,,,,,,,,
10.489875389969226,,,,,,,,,,0.021422641503029912,,,,,,,,
10.503882634737984,,,,,,,,,,0.021492855386064734,,,,,,,,
10.51790858353312,,,,,,,,,,0.021563299398953996,,,,,,,,
10.531953261330328,,,,,,,,,,0.021633974295960923,,,,,,,,
10.546016693138645,,,,,,,,,,0.021704880833820883,,,,,,,,
10.560098904000506,,,,,,,,,,0.02177601977174948,,,,,,,,
10.574199918991788,,,,,,,,,,0.021847391871450694,,,,,,,,
10.588319763221847,,,,,,,,,,0.021918997897125023,,,,,,,,
10.602458461833573,,,,,,,,,,0.021990838615477685,,,,,,,,
