Photon Energy / eV,1s,2s,2p,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
10.2,,,12.699999999999998,,,,,,,,,,,,,,,
10.21362017100584,,,12.685486663061338,,,,,,,,,,,,,,,
10.22725852917425,,,12.670989911709226,,,,,,,,,,,,,,,
10.24091509879075,,,12.656509726989935,,,,,,,,,,,,,,,
10.25458990417328,,,12.64204608997142,,,,,,,,,,,,,,,
10.26828296967226,,,12.627598981743242,,,,,,,,,,,,,,,
10.281994319670622,,,12.613168383416603,,,,,,,,,,,,,,,
10.29572397858386,,,12.598754276124273,,,,,,,,,,,,,,,
10.30947197086006,,,12.58435664102059,,,,,,,,,,,,,,,
10.323238320979964,,,12.56997545928143,,,,,,,,,,,,,,,
10.337023053457003,,,12.555610712104167,,,,,,,,,,,,,,,
10.350826192837335,,,12.541262380707677,,,,,,,,,,,,,,,
10.3646477636999,,,12.526930446332301,,,,,,,,,,,,,,,
10.378487790656457,,,12.512614890239798,,,,,,,,,,,,,,,
10.39234629835163,,,12.498315693713367,,,,,,,,,,,,,,,
10.406223311462949,,,12.484032838057571,,,,,,,,,,,,,,,
10.420118854700899,,,12.469766304598357,,,,,,,,,,,,,,,
10.434032952808957,,,12.45551607468301,,,,,,,,,,,,,,,
10.447965630563646,,,12.441282129680113,,,,,,,,,,,,,,,
10.461916912774575,,,12.427064450979563,,,,,,,,,,,,,,,
10.475886824284464,,,12.412863019992514,,,,,,,,,,,,,,,
10.489875389969226,,,12.398677818151366,,,,,,,,,,,,,,,
10.503882634737984,,,12.384508826909741,,,,,,,,,,,,,,,
10.51790858353312,,,12.370356027742437,,,,,,,,,,,,,,,
10.531953261330328,,,12.356219402145449,,,,,,,,,,,,,,,
10.546016693138645,,,12.342098931635894,,,,,,,,,,,,,,,
10.560098904000506,,,12.327994597752028,,,,,,,,,,,,,,,
10.574199918991788,,,12.313906382053203,,,,,,,,,,,,,,,
10.588319763221847,,,12.299834266119827,,,,,,,,,,,,,,,
10.602458461833573,,,12.285778231553387,,,,,,,,,,,,,,,
10.616616040003423,,,12.271738259976363,,,,,,,,,,,,,,,
10.630792522941482,,,12.257714333032261,,,,,,,,,,,,,,,
10.644987935891493,,,12.243706432385556,,,,,,,,,,,,,,,
10.659202304130899,,,12.229714539721678,,,,,,,,,,,,,,,
10.673435652970909,,,12.215738636746991,,,,,,,,,,,,,,,
10.687688007756526,,,12.201778705188744,,,,,,,,,,,,,,,
10.701959393866595,,,12.187834726795092,,,,,,,,,,,,,,,
10.716249836713851,,,12.173906683335046,,,,,,,,,,,,,,,
10.730559361744964,,,12.159994556598427,,,,,,,,,,,,,,,
10.74488799444058,,,12.1460983283959,,,,,,,,,,,,,,,
10.75923576031537,,,12.132217980558881,,,,,,,,,,,,,,,
10.77360268491808,,,12.11835349493958,,,,,,,,,,,,,,,
10.787988793831566,,,12.104504853410937,,,,,,,,,,,,,,,
10.802394112672848,,,12.09067203786659,,,,,,,,,,,,,,,
10.816818667093155,,,12.076855030220889,,,,,,,,,,,,,,,
10.831262482777957,,,12.063053812408846,,,,,,,,,,,,,,,
10.845725585447031,,,12.049268366386116,,,,,,,,,,,,,,,
10.860208000854502,,,12.035498674128979,,,,,,,,,,,,,,,
10.874709754788878,,,12.021744717634299,,,,,,,,,,,,,,,
10.889230873073103,,,12.008006478919535,,,,,,,,,,,,,,,
10.903771381564605,,,11.99428394002267,,,,,,,,,,,,,,,
10.91833130615534,,,11.980577083002236,,,,,,,,,,,,,,,
10.932910672771834,,,11.966885889937265,,,,,,,,,,,,,,,
10.947509507375239,,,11.953210342927253,,,,,,,,,,,,,,,
10.962127835961367,,,11.939550424092166,,,,,,,,,,,,,,,
10.976765684560746,,,11.925906115572412,,,,,,,,,,,,,,,
10.991423079238663,,,11.912277399528778,,,,,,,,,,,,,,,
11.006100046095213,,,11.898664258142468,,,,,,,,,,,,,,,
11.02079661126533,,,11.885066673615032,,,,,,,,,,,,,,,
11.035512800918863,,,11.871484628168377,,,,,,,,,,,,,,,
11.050248641260591,,,11.857918104044696,,,,,,,,,,,,,,,
11.0650041585303,,,11.844367083506503,,,,,,,,,,,,,,,
11.079779379002801,,,11.83083154883658,,,,,,,,,,,,,,,
11.094574328987996,,,11.817311482337933,,,,,,,,,,,,,,,
11.109389034830919,,,11.803806866333817,,,,,,,,,,,,,,,
11.124223522911782,,,11.790317683167684,,,,,,,,,,,,,,,
11.13907781964602,,,11.776843915203143,,,,,,,,,,,,,,,
11.153951951484348,,,11.763385544823988,,,,,,,,,,,,,,,
11.168845944912793,,,11.749942554434114,,,,,,,,,,,,,,,
11.183759826452752,,,11.736514926457547,,,,,,,,,,,,,,,
11.198693622661045,,,11.72310264333839,,,,,,,,,,,,,,,
11.213647360129933,,,11.709705687540808,,,,,,,,,,,,,,,
11.228621065487202,,,11.696324041549017,,,,,,,,,,,,,,,
11.243614765396194,,,11.682957687867225,,,,,,,,,,,,,,,
11.258628486555848,,,11.669606609019661,,,,,,,,,,,,,,,
11.273662255700762,,,11.656270787550502,,,,,,,,,,,,,,,
11.288716099601224,,,11.642950206023889,,,,,,,,,,,,,,,
11.303790045063277,,,11.62964484702389,,,,,,,,,,,,,,,
11.318884118928755,,,11.616354693154456,,,,,,,,,,,,,,,
11.333998348075333,,,11.603079727039436,,,,,,,,,,,,,,,
11.349132759416577,,,11.58981993132254,,,,,,,,,,,,,,,
11.364287379901992,,,11.57657528866729,,,,,,,,,,,,,,,
11.379462236517073,,,11.563345781757036,,,,,,,,,,,,,,,
11.394657356283334,,,11.55013139329492,,,,,,,,,,,,,,,
11.409872766258385,,,11.536932106003848,,,,,,,,,,,,,,,
11.425108493535966,,,11.523747902626456,,,,,,,,,,,,,,,
11.440364565245988,,,11.510578765925118,,,,,,,,,,,,,,,
11.455641008554595,,,11.497424678681906,,,,,,,,,,,,,,,
11.470937850664205,,,11.484285623698552,,,,,,,,,,,,,,,
11.48625511881356,,,11.471161583796462,,,,,,,,,,,,,,,
11.50159284027777,,,11.458052541816668,,,,,,,,,,,,,,,
11.516951042368369,,,11.444958480619798,,,,,,,,,,,,,,,
11.532329752433364,,,11.431879383086086,,,,,,,,,,,,,,,
11.547728997857273,,,11.418815232115309,,,,,,,,,,,,,,,
11.563148806061186,,,11.405766010626806,,,,,,,,,,,,,,,
11.578589204502812,,,11.392731701559423,,,,,,,,,,,,,,,
11.594050220676507,,,11.379712287871511,,,,,,,,,,,,,,,
11.60953188211336,,,11.366707752540895,,,,,,,,,,,,,,,
11.625034216381218,,,11.353718078564839,,,,,,,,,,,,,,,
11.640557251084733,,,11.340743248960054,,,,,,,,,,,,,,,
11.656101013865422,,,11.327783246762658,,,,,,,,,,,,,,,
11.671665532401715,,,11.31483805502814,,,,,,,,,,,,,,,
11.687250834408998,,,11.301907656831375,,,,,,,,,,,,,,,
11.702856947639663,,,11.288992035266554,,,,,,,,,,,,,,,
11.718483899883166,,,11.27609117344721,,,,,,,,,,,,,,,
11.734131718966067,,,11.263205054506168,,,,,,,,,,,,,,,
11.749800432752084,,,11.250333661595517,,,,,,,,,,,,,,,
11.765490069142146,,,11.237476977886612,,,,,,,,,,,,,,,
11.781200656074423,,,11.224634986570036,,,,,,,,,,,,,,,
11.796932221524408,,,11.211807670855583,,,,,,,,,,,,,,,
11.812684793504943,,,11.198995013972235,,,,,,,,,,,,,,,
11.828458400066278,,,11.186196999168128,,,,,,,,,,,,,,,
11.844253069296117,,,11.173413609710561,,,,,,,,,,,,,,,
11.860068829319673,,,11.160644828885935,,,,,,,,,,,,,,,
11.875905708299708,,,11.147890639999767,,,,,,,,,,,,,,,
11.891763734436596,,,11.13515102637665,,,,,,,,,,,,,,,
11.907642935968369,,,11.12242597136022,,,,,,,,,,,,,,,
11.923543341170758,,,11.109715458313165,,,,,,,,,,,,,,,
11.939464978357256,,,11.09701947061717,,,,,,,,,,,,,,,
11.955407875879164,,,11.084337991672923,,,,,,,,,,,,,,,
11.971372062125644,,,11.071671004900077,,,,,,,,,,,,,,,
11.98735756552375,,,11.059018493737232,,,,,,,,,,,,,,,
12.003364414538513,,,11.046380441641924,,,,,,,,,,,,,,,
12.019392637672967,,,11.033756832090573,,,,,,,,,,,,,,,
12.035442263468205,,,11.021147648578495,,,,,,,,,,,,,,,
12.051513320503435,,,11.008552874619875,,,,,,,,,,,,,,,
12.067605837396025,,,10.995972493747717,,,,,,,,,,,,,,,
12.083719842801555,,,10.983406489513863,,,,,,,,,,,,,,,
12.09985536541387,,,10.970854845488935,,,,,,,,,,,,,,,
12.116012433965132,,,10.958317545262343,,,,,,,,,,,,,,,
12.132191077225865,,,10.945794572442251,,,,,,,,,,,,,,,
12.148391324005015,,,10.933285910655542,,,,,,,,,,,,,,,
12.164613203149997,,,10.920791543547827,,,,,,,,,,,,,,,
12.180856743546748,,,10.908311454783382,,,,,,,,,,,,,,,
12.197121974119762,,,10.895845628045183,,,,,,,,,,,,,,,
12.213408923832173,,,10.883394047034837,,,,,,,,,,,,,,,
12.229717621685785,,,10.870956695472568,,,,,,,,,,,,,,,
12.246048096721127,,,10.858533557097221,,,,,,,,,,,,,,,
12.262400378017508,,,10.846124615666206,,,,,,,,,,,,,,,
12.278774494693064,,,10.833729854955507,,,,,,,,,,,,,,,
12.295170475904815,,,10.821349258759655,,,,,,,,,,,,,,,
12.311588350848714,,,10.808982810891678,,,,,,,,,,,,,,,
12.328028148759701,,,10.796630495183127,,,,,,,,,,,,,,,
12.344489898911752,,,10.78429229548401,,,,,,,,,,,,,,,
12.360973630617933,,,10.771968195662799,,,,,,,,,,,,,,,
12.377479373230457,,,10.759658179606406,,,,,,,,,,,,,,,
12.394007156140717,,,10.747362231220151,,,,,,,,,,,,,,,
12.410557008779367,,,10.735080334427753,,,,,,,,,,,,,,,
12.427128960616358,,,10.722812473171285,,,,,,,,,,,,,,,
12.443723041160986,,,10.71055863141119,,,,,,,,,,,,,,,
12.460339279961959,,,10.698318793126239,,,,,,,,,,,,,,,
12.476977706607435,,,10.686092942313495,,,,,,,,,,,,,,,
12.493638350725087,,,10.673881062988333,,,,,,,,,,,,,,,
12.510321241982146,,,10.661683139184369,,,,,,,,,,,,,,,
12.527026410085458,,,10.649499154953485,,,,,,,,,,,,,,,
12.54375388478154,,,10.637329094365787,,,,,,,,,,,,,,,
12.560503695856626,,,10.625172941509572,,,,,,,,,,,,,,,
12.577275873136736,,,10.613030680491331,,,,,,,,,,,,,,,
12.594070446487692,,,10.600902295435715,,,,,,,,,,,,,,,
12.610887445815216,,,10.58878777048552,,,,,,,,,,,,,,,
12.627726901064962,,,10.576687089801664,,,,,,,,,,,,,,,
12.644588842222564,,,10.564600237563155,,,,,,,,,,,,,,,
12.661473299313702,,,10.552527197967098,,,,,,,,,,,,,,,
12.678380302404145,,,10.540467955228635,,,,,,,,,,,,,,,
12.695309881599814,,,10.528422493580967,,,,,,,,,,,,,,,
12.712262067046824,,,10.51639079727531,,,,,,,,,,,,,,,
12.729236888931553,,,10.504372850580863,,,,,,,,,,,,,,,
12.746234377480679,,,10.49236863778482,,,,,,,,,,,,,,,
12.763254562961247,,,10.480378143192317,,,,,,,,,,,,,,,
12.780297475680719,,,10.468401351126433,,,,,,,,,,,,,,,
12.797363145987026,,,10.456438245928162,,,,,,,,,,,,,,,
12.814451604268612,,,10.444488811956395,,,,,,,,,,,,,,,
12.831562880954513,,,10.432553033587896,,,,,,,,,,,,,,,
12.848697006514394,,,10.420630895217274,,,,,,,,,,,,,,,
12.865854011458604,,,10.408722381256982,,,,,,,,,,,,,,,
12.883033926338236,,,10.39682747613729,,,,,,,,,,,,,,,
12.900236781745173,,,10.384946164306243,,,,,,,,,,,,,,,
12.917462608312153,,,10.373078430229679,,,,,,,,,,,,,,,
12.934711436712814,,,10.361224258391168,,,,,,,,,,,,,,,
12.951983297661757,,,10.34938363329203,,,,,,,,,,,,,,,
12.969278221914594,,,10.337556539451294,,,,,,,,,,,,,,,
12.986596240268005,,,10.325742961405663,,,,,,,,,,,,,,,
13.003937383559792,,,10.313942883709531,,,,,,,,,,,,,,,
13.021301682668948,,,10.302156290934933,,,,,,,,,,,,,,,
13.038689168515672,,,10.290383167671541,,,,,,,,,,,,,,,
13.056099872061473,,,10.278623498526638,,,,,,,,,,,,,,,
13.073533824309198,,,10.266877268125084,,,,,,,,,,,,,,,
13.090991056303093,,,10.255144461109326,,,,,,,,,,,,,,,
13.108471599128855,,,10.24342506213935,,,,,,,,,,,,,,,
13.12597548391369,,,10.231719055892675,,,,,,,,,,,,,,,
13.143502741826373,,,10.220026427064344,,,,,,,,,,,,,,,
13.161053404077295,,,10.208347160366865,,,,,,,,,,,,,,,
13.178627501918522,,,10.196681240530232,,,,,,,,,,,,,,,
13.196225066643855,,,10.185028652301895,,,,,,,,,,,,,,,
13.213846129588878,,,10.173389380446718,,,,,,,,,,,,,,,
13.23149072213102,,,10.161763409746989,,,,,,,,,,,,,,,
13.249158875689616,,,10.15015072500237,,,,,,,,,,,,,,,
13.266850621725933,,,10.138551311029921,,,,,,,,,,,,,,,
13.28456599174327,,,10.126965152664026,,,,,,,,,,,,,,,
13.302305017286987,,,10.115392234756413,,,,,,,,,,,,,,,
13.320067729944563,,,10.103832542176123,,,,,,,,,,,,,,,
13.337854161345662,,,10.092286059809478,,,,,,,,,,,,,,,
13.35566434316218,,,10.080752772560084,,,,,,,,,,,,,,,
13.373498307108303,,,10.069232665348785,,,,,,,,,,,,,,,
13.39135608494057,,,10.05772572311367,,,,,,,,,,,,,,,
13.409237708457923,,,10.046231930810038,,,,,,,,,,,,,,,
13.42714320950176,,,10.03475127341037,,,,,,,,,,,,,,,
13.445072619956013,,,10.023283735904334,,,,,,,,,,,,,,,
13.463025971747165,,,10.011829303298747,,,,,,,,,,,,,,,
13.481003296844346,,,10.000387960617555,,,,,,,,,,,,,,,
13.499004627259376,,,9.988959692901828,,,,,,,,,,,,,,,
13.517029995046817,,,9.977544485209721,,,,,,,,,,,,,,,
13.535079432304032,,,9.96614232261647,,,,,,,,,,,,,,,
13.553152971171249,,,9.954753190214364,,,,,,,,,,,,,,,
13.571250643831608,,,9.94337707311273,,,,,,,,,,,,,,,
13.589372482511225,,,9.932013956437908,,,,,,,,,,,,,,,
13.60751851947925,,,9.920663825333245,,,,,,,,,,,,,,,
13.62568878704792,,,9.909326664959055,,,,,,,,,,,,,,,
13.643883317572621,,,9.898002460492616,,,,,,,,,,,,,,,
13.662102143451941,,,9.886691197128142,,,,,,,,,,,,,,,
13.680345297127738,,,9.87539286007677,,,,,,,,,,,,,,,
13.698612811085171,,,9.86410743456654,,,,,,,,,,,,,,,
13.716904717852795,,,9.852834905842368,,,,,,,,,,,,,,,
13.735221050002595,,,9.841575259166033,,,,,,,,,,,,,,,
13.75356184015005,,,9.830328479816156,,,,,,,,,,,,,,,
13.771927120954192,,,9.819094553088181,,,,,,,,,,,,,,,
13.790316925117658,,,9.807873464294362,,,,,,,,,,,,,,,
13.80873128538676,,,9.796665198763732,,,,,,,,,,,,,,,
13.827170234551529,,,9.785469741842087,,,,,,,,,,,,,,,
13.845633805445788,,,9.774287078891975,,,,,,,,,,,,,,,
13.8641220309472,,,9.763117195292674,,,,,,,,,,,,,,,
13.882634943977331,,,9.751960076440165,,,,,,,,,,,,,,,
13.901172577501706,,,9.740815707747116,,,,,,,,,,,,,,,
13.919734964529876,,,9.729684074642867,,,,,,,,,,,,,,,
13.938322138115451,,,9.71856516257342,,,,,,,,,,,,,,,
13.956934131356197,,,9.707458957001391,,,,,,,,,,,,,,,
13.97557097739407,,,9.696365443406027,,,,,,,,,,,,,,,
13.994232709415282,,,9.685284607283151,,,,,,,,,,,,,,,
14.012919360650356,,,9.674216434145176,,,,,,,,,,,,,,,
14.03163096437419,,,9.663160909521062,,,,,,,,,,,,,,,
14.050367553906112,,,9.652118018956308,,,,,,,,,,,,,,,
14.069129162609945,,,9.641087748012938,,,,,,,,,,,,,,,
